level,ascension,base_hp,base_atk,base_def,ascension_stat,ascension_value
1,0,1143.9840087890625,18.6200008392334,59.83000183105469,healing_bonus,0
2,0,1238.934618241241,20.16545987895961,64.79588867364873,healing_bonus,0
3,0,1333.8853640669404,21.71092113836289,69.76178264853479,healing_bonus,0
4,0,1429.9800109863281,23.275001049041748,74.78750228881836,healing_bonus,0
5,0,1524.9306204385066,24.82046008876796,79.7533891314124,healing_bonus,0
6,0,1621.0254037314153,26.384542219123887,84.77911590398799,healing_bonus,0
7,0,1715.9760131835938,27.930001258850098,89.74500274658203,healing_bonus,0
8,0,1812.0706601029815,29.494081169528954,94.7707223868656,healing_bonus,0
9,0,1908.1653070223692,31.05816108020781,99.79644202714917,healing_bonus,0
10,0,2003.1160528480686,32.60362233961109,104.76233600203523,healing_bonus,0
11,0,2099.2106997674564,34.16770225028995,109.7880556423188,healing_bonus,0
12,0,2195.305346686844,35.731782160968805,114.81377528260236,healing_bonus,0
13,0,2291.399993606232,37.29586207164766,119.83949492288593,healing_bonus,0
14,0,2388.638677992829,38.87856285327916,124.92504736085903,healing_bonus,0
15,0,2484.7331885386957,40.44264054428095,129.95075986885058,healing_bonus,0
16,0,2580.8279718316044,42.006722674636876,134.97648664142616,healing_bonus,0
17,0,2678.0666562182014,43.58942345626838,140.06203907939926,healing_bonus,0
18,0,2774.161166764068,45.15350114727016,145.0877515873908,healing_bonus,0
19,0,2871.399851150665,46.736201928901664,150.1733040253639,healing_bonus,0
20,0,2967.494634443574,48.30028405925759,155.19903079793949,healing_bonus,0
20,1,3948.35748844748,64.26408448955544,206.49903003500003,healing_bonus,0
21,1,4045.5959000870353,65.8467808318328,211.5845682083891,healing_bonus,0
22,1,4142.834584473632,67.4294816134643,216.6701206463622,healing_bonus,0
23,1,4240.073268860229,69.0121823950958,221.75567308433529,healing_bonus,0
24,1,4337.311953246826,70.59488317672731,226.84122552230838,healing_bonus,0
25,1,4434.550637633423,72.17758395835881,231.92677796028147,healing_bonus,0
26,1,4532.933223113709,73.77890339126589,237.07215606365207,healing_bonus,0
27,1,4630.171907500306,75.36160417289739,242.15770850162517,healing_bonus,0
28,1,4727.410591886903,76.94430495452889,247.24326093959826,healing_bonus,0
29,1,4825.793177367188,78.54562438743596,252.38863904296886,healing_bonus,0
30,1,4923.031861753785,80.12832516906747,257.47419148094195,healing_bonus,0
31,1,5021.41444723407,81.72964460197454,262.61956958431256,healing_bonus,0
32,1,5119.797032714356,83.33096403488162,267.76494768768316,healing_bonus,0
33,1,5218.179618194641,84.9322834677887,272.91032579105376,healing_bonus,0
34,1,5315.418302581238,86.5149842494202,277.99587822902686,healing_bonus,0
35,1,5413.800888061523,88.11630368232727,283.14125633239746,healing_bonus,0
36,1,5513.327374635497,89.73624176650992,288.3464601011656,healing_bonus,0
37,1,5611.709960115782,91.337561199417,293.4918382045362,healing_bonus,0
38,1,5710.092545596068,92.93888063232407,298.6372163079068,healing_bonus,0
39,1,5808.475131076353,94.54020006523115,303.7825944112774,healing_bonus,0
40,1,5908.002163144411,96.16014702812208,308.98782670921355,healing_bonus,0
