level,ascension,hp,atk,def,ascension_stat,ascension_value
1,0,1039.1187744140625,23.08880043029785,62.82149887084961,Elemental Mastery,0
2,0,1125.3655752135382,25.005169588899207,68.03567980227763,Elemental Mastery,0
3,0,1211.6124998856249,26.92154149990006,73.2498682226119,Elemental Mastery,0
4,0,1298.8984680175781,28.861000537872314,78.52687358856201,Elemental Mastery,0
5,0,1385.1452688170539,30.77736969647367,83.74105451999003,Elemental Mastery,0
6,0,1472.431360821618,32.71683148684542,89.0180673748464,Elemental Mastery,0
7,0,1558.6781616210938,34.63320064544678,94.23224830627441,Elemental Mastery,0
8,0,1645.964129753047,36.57265968341903,99.50925367222453,Elemental Mastery,0
9,0,1733.2500978850003,38.51211872139129,104.78625903817465,Elemental Mastery,0
10,0,1819.497022557087,40.42849063239214,110.00044745850892,Elemental Mastery,0
11,0,1906.7829906890402,42.367949670364396,115.27745282445903,Elemental Mastery,0
12,0,1994.0689588209934,44.30740870833665,120.55445819040915,Elemental Mastery,0
13,0,2081.3549269529467,46.24686774630891,125.83146355635927,Elemental Mastery,0
14,0,2169.6800624173775,48.209416663652064,131.17129335683148,Elemental Mastery,0
15,0,2256.96590667672,50.148872949224824,136.44829123387535,Elemental Mastery,0
16,0,2344.251998681284,52.088334739596576,141.72530408873172,Elemental Mastery,0
17,0,2432.577134145715,54.05088365693973,147.06513388920393,Elemental Mastery,0
18,0,2519.862978405057,55.99033994251249,152.3421317662478,Elemental Mastery,0
19,0,2608.188113869488,57.95288885985565,157.68196156672002,Elemental Mastery,0
20,0,2695.474205874052,59.8923506502274,162.9589744215764,Elemental Mastery,0
20,1,3586.424645327177,79.68746326009068,216.82397610004318,Elemental Mastery,0
21,1,3674.749533046386,81.65000667263485,222.1637909227029,Elemental Mastery,0
22,1,3763.074668510817,83.612555589978,227.50362072317512,Elemental Mastery,0
23,1,3851.399803975248,85.57510450732116,232.84345052364733,Elemental Mastery,0
24,1,3939.7249394396786,87.53765342466431,238.18328032411955,Elemental Mastery,0
25,1,4028.0500749041094,89.50020234200747,243.52311012459177,Elemental Mastery,0
26,1,4117.414253828407,91.48583838632203,248.92575687067983,Elemental Mastery,0
27,1,4205.739389292838,93.44838730366519,254.26558667115205,Elemental Mastery,0
28,1,4294.064524757268,95.41093622100834,259.60541647162427,Elemental Mastery,0
29,1,4383.428703681566,97.3965722653229,265.00806321771233,Elemental Mastery,0
30,1,4471.753839145997,99.35912118266606,270.34789301818455,Elemental Mastery,0
31,1,4561.118018070294,101.34475722698062,275.7505397642726,Elemental Mastery,0
32,1,4650.4821969945915,103.33039327129518,281.1531865103607,Elemental Mastery,0
33,1,4739.846375918889,105.31602931560974,286.55583325644875,Elemental Mastery,0
34,1,4828.17151138332,107.2785782329529,291.89566305692097,Elemental Mastery,0
35,1,4917.535690307617,109.26421427726746,297.29830980300903,Elemental Mastery,0
36,1,5007.938912691781,111.27293744855342,302.76377349471295,Elemental Mastery,0
37,1,5097.303091616079,113.25857349286798,308.166420240801,Elemental Mastery,0
38,1,5186.667270540376,115.24420953718254,313.5690669868891,Elemental Mastery,0
39,1,5276.031449464674,117.2298455814971,318.97171373297715,Elemental Mastery,0
40,1,5366.435167339281,119.23857976238105,324.43720738030606,Elemental Mastery,0
40,2,5999.478868511156,133.30352879802558,362.70970265008145,Elemental Mastery,28.799999237060547
41,2,6088.843047435454,135.28916484234014,368.1123493961695,Elemental Mastery,28.799999237060547
42,2,6179.246269819618,137.2978880136261,373.57781308787344,Elemental Mastery,28.799999237060547
43,2,6269.649492203782,139.30661118491207,379.04327677957735,Elemental Mastery,28.799999237060547
44,2,6359.013671128079,141.29224722922663,384.4459235256654,Elemental Mastery,28.799999237060547
