level,ascension,hp,atk,def,ascension_stat,ascension_value
1,0,819.855224609375,20.48200035095215,52.052101135253906,er,0
2,0,887.9031629032106,22.18200524715803,56.372422650316366,er,0
3,0,955.9511989314051,23.882012585008624,60.69275037047282,er,0
4,0,1024.8190307617188,25.602500438690186,65.06512641906738,er,0
5,0,1092.8669690555544,27.30250533489607,69.38544793412984,er,0
6,0,1161.7348986202269,29.02299563022234,73.7578301878184,er,0
7,0,1229.7828369140625,30.723000526428223,78.07815170288086,er,0
8,0,1298.6506687443762,32.443488380109784,82.45052775147542,er,0
9,0,1367.5185005746898,34.163976233791345,86.82290380006998,er,0
10,0,1435.5665366028843,35.86398357164194,91.14323152022644,er,0
11,0,1504.434368433198,37.5844714253235,95.515607568821,er,0
12,0,1573.3022002635116,39.30495927900506,99.88798361741556,er,0
13,0,1642.1700320938253,41.02544713268662,104.26035966601012,er,0
14,0,1711.857757460617,42.76641794384386,108.68479024813678,er,0
15,0,1780.7254915565718,44.48690335588071,113.05716009163734,er,0
16,0,1849.5934211212443,46.207393651206985,117.4295423453259,er,0
17,0,1919.281146488036,47.948364462364225,121.85397292745256,er,0
18,0,1988.1488805839908,49.668849874401076,126.22634277095312,er,0
19,0,2057.8366059507825,51.409820685558316,130.65077335307979,er,0
20,0,2126.704535515455,53.13031098088459,135.02315560676834,er,0
20,1,2829.6562567068613,70.69049164494709,179.65415612556717,er,0
21,1,2899.3437866049353,72.4314575728149,184.07857429750584,er,0
22,1,2969.031511971727,74.17242838397215,188.5030048796325,er,0
23,1,3038.7192373385187,75.91339919512939,192.92743546175916,er,0
24,1,3108.4069627053104,77.65437000628663,197.35186604388582,er,0
25,1,3178.094688072102,79.39534081744387,201.77629662601248,er,0
26,1,3248.602209241013,81.15679214443207,206.25277553657725,er,0
27,1,3318.2899346078048,82.89776295558931,210.6772061187039,er,0
28,1,3387.9776599745965,84.63873376674655,215.10163670083057,er,0
29,1,3458.4851811435074,86.40018509373476,219.57811561139533,er,0
30,1,3528.172906510299,88.141155904892,224.002546193522,er,0
31,1,3598.68042767921,89.90260723188021,228.47902510408676,er,0
32,1,3669.187948848121,91.66405855886842,232.95550401465152,er,0
33,1,3739.6954700170318,93.42550988585663,237.4319829252163,er,0
34,1,3809.3831953838235,95.16648069701387,241.85641350734295,er,0
35,1,3879.8907165527344,96.92793202400208,246.33289241790771,er,0
36,1,3951.2180335237645,98.70986386682125,250.86141965691058,er,0
37,1,4021.7255546926754,100.47131519380946,255.33789856747535,er,0
38,1,4092.2330758615863,102.23276652079767,259.8143774780401,er,0
39,1,4162.740597030497,103.99421784778588,264.2908563886049,er,0
40,1,4234.068304938963,105.7761594571839,268.81940844798373,er,0
40,2,4733.533942145994,118.25312822244268,300.5309067084818,er,0.07999999821186066
41,2,4804.041463314905,120.01457954943089,305.00738561904654,er,0.07999999821186066
42,2,4875.368780285935,121.79651139225007,309.5359128580494,er,0.07999999821186066
43,2,4946.696097256965,123.57844323506924,314.0644400970523,er,0.07999999821186066
44,2,5017.203618425876,125.33989456205745,318.54091900761705,er,0.07999999821186066
45,2,5088.530935396906,127.12182640487663,323.0694462466199,er,0.07999999821186066
46,2,5159.8586433053715,128.90376801427465,327.5979983059988,er,0.07999999821186066
47,2,5231.185960276402,130.68569985709382,332.12652554500164,er,0.07999999821186066
48,2,5302.513277247432,132.467631699913,336.6550527840045,er,0.07999999821186066
49,2,5374.660780958016,134.27005382514199,341.23565317182147,er,0.07999999821186066
50,2,5445.9880979290465,136.05198566796116,345.76418041082434,er,0.07999999821186066
50,3,6111.942321561859,152.68794720055394,388.0461780914884,er,0.1599999964237213
51,3,6183.269638532889,154.4698790433731,392.57470533049127,er,0.1599999964237213
52,3,6255.416751306038,156.27229140202326,397.15528089793224,er,0.1599999964237213
53,3,6326.744459214504,158.05423301142127,401.6838329573111,er,0.1599999964237213
54,3,6398.891571987653,159.85664537007142,406.26440852475207,er,0.1599999964237213
55,3,6471.038684760802,161.65905772872156,410.84498409219304,er,0.1599999964237213
56,3,6543.186188471387,163.46147985395055,415.42558448001,er,0.1599999964237213
57,3,6615.333301244536,165.2638922126007,420.006160047451,er,0.1599999964237213
58,3,6687.480414017686,167.06630457125084,424.58673561489195,er,0.1599999964237213
59,3,6759.62791772827,168.86872669647983,429.1673360027089,er,0.1599999964237213
60,3,6831.77503050142,170.67113905512997,433.7479115701499,er,0.1599999964237213
60,4,7331.24085081392,183.1481097277374,465.4594136453452,er,0.1599999964237213
61,4,7403.388354524504,184.95053185296638,470.04001403316215,er,0.1599999964237213
62,4,7475.535467297654,186.75294421161652,474.6205896006031,er,0.1599999964237213
63,4,7548.502375872922,188.57583708609764,479.2532134964822,er,0.1599999964237213
64,4,7620.649879583507,190.37825921132662,483.83381388429916,er,0.1599999964237213
65,4,7693.616788158775,192.20115208580773,488.46643778017824,er,0.1599999964237213
66,4,7766.584087671479,194.0240547268677,493.0990864964333,er,0.1599999964237213
67,4,7838.7312004446285,195.82646708551783,497.6796620638743,er,0.1599999964237213
68,4,7911.698499957332,197.6493697265778,502.31231078012934,er,0.1599999964237213
69,4,7984.665408532601,199.4722626010589,506.9449346760084,er,0.1599999964237213
70,4,8057.632708045305,201.29516524211886,511.5775833922635,er,0.1599999964237213
70,5,8557.09828421718,213.77213591472628,543.2890854674588,er,0.23999999463558197
71,5,8630.065192792448,215.5950287892074,547.9217093633379,er,0.23999999463558197
72,5,8703.852288107271,217.4384119460983,552.606406408031,er,0.23999999463558197
73,5,8776.819587619975,219.26131458715827,557.2390551242861,er,0.23999999463558197
74,5,8849.786496195244,221.08420746163938,561.8716790201652,er,0.23999999463558197
75,5,8923.573591510067,222.9275906185303,566.5563760648583,er,0.23999999463558197
76,5,8996.540500085335,224.75048349301142,571.1889999607374,er,0.23999999463558197
77,5,9070.327595400158,226.59386664990234,575.8736970054306,er,0.23999999463558197
78,5,9144.114690714981,228.43724980679326,580.5583940501238,er,0.23999999463558197
79,5,9217.901395092369,230.28062319710534,585.2430662744409,er,0.23999999463558197
80,5,9291.688490407192,232.12400635399626,589.9277633191341,er,0.23999999463558197
80,6,9791.154310719692,244.60097321190642,621.6392653943294,er,0.3199999928474426
81,6,9864.941406034515,246.44435636879734,626.3239624390226,er,0.3199999928474426
82,6,9938.728110411903,248.28772975910942,631.0086346633398,er,0.3199999928474426
83,6,10012.515205726726,250.13111291600035,635.6933317080329,er,0.3199999928474426
84,6,10086.302301041549,251.97449607289127,640.3780287527261,er,0.3199999928474426
85,6,10160.089396356372,253.8178792297822,645.0627257974193,er,0.3199999928474426
86,6,10234.695896535879,255.68173313592524,649.7994463501745,er,0.3199999928474426
87,6,10308.482991850702,257.52511629281616,654.4841433948677,er,0.3199999928474426
88,6,10383.089492030209,259.3889701989592,659.220863947623,er,0.3199999928474426
89,6,10457.696774084587,261.25284363825995,663.9576341411303,er,0.3199999928474426
90,6,10531.48386939941,263.09622679515087,668.6423311858234,er,0.3199999928474426
