Level,Ascension,HP,ATK,DEF,Ascension Stat,Ascension Value
1,0,991.4528198242188,27.185199737548828,62.223201751708984,CRIT Rate,0.05000000074505806
2,0,1073.7433490292897,29.441569812067428,67.387724055342,CRIT Rate,0.05000000074505806
3,0,1156.0339964247469,31.697943127314375,72.5522537765587,CRIT Rate,0.05000000074505806
4,0,1239.3160247802734,33.981499671936035,77.77900218963623,CRIT Rate,0.05000000074505806
5,0,1321.6065539853444,36.237869746454635,82.94352449326925,CRIT Rate,0.05000000074505806
6,0,1404.8887005312572,38.52142953180464,88.17028032393046,CRIT Rate,0.05000000074505806
7,0,1487.1792297363281,40.77779960632324,93.33480262756348,CRIT Rate,0.05000000074505806
8,0,1570.4612580918547,43.0613561509449,98.561551040641,CRIT Rate,0.05000000074505806
9,0,1653.7432864473813,45.34491269556656,103.78829945371854,CRIT Rate,0.05000000074505806
10,0,1736.0339338428385,47.60128601081351,108.95282917493523,CRIT Rate,0.05000000074505806
11,0,1819.315962198365,49.88484255543517,114.17957758801276,CRIT Rate,0.05000000074505806
12,0,1902.5979905538916,52.16839910005683,119.40632600109029,CRIT Rate,0.05000000074505806
13,0,1985.8800189094181,54.45195564467849,124.63307441416782,CRIT Rate,0.05000000074505806
14,0,2070.1535464154003,56.76269865940321,129.92204893668986,CRIT Rate,0.05000000074505806
15,0,2153.4354565805406,59.04625196329653,135.14878993218372,CRIT Rate,0.05000000074505806
16,0,2236.7176031264535,61.329811748646534,140.37554576284492,CRIT Rate,0.05000000074505806
17,0,2320.9911306324357,63.640554763371256,145.66452028536696,CRIT Rate,0.05000000074505806
18,0,2404.273040797576,65.92410806726457,150.89126128086082,CRIT Rate,0.05000000074505806
19,0,2488.546568303558,68.23485108198929,156.18023580338286,CRIT Rate,0.05000000074505806
20,0,2571.828714849471,70.5184108673393,161.40699163404406,CRIT Rate,0.05000000074505806
20,1,3421.9098305721272,93.82555884707563,214.7589928242296,CRIT Rate,0.05000000074505806
21,1,3506.183121697337,96.13629538034365,220.0479525115843,CRIT Rate,0.05000000074505806
22,1,3590.456649203319,98.44703839506838,225.33692703410634,CRIT Rate,0.05000000074505806
23,1,3674.7301767093013,100.7577814097931,230.62590155662838,CRIT Rate,0.05000000074505806
24,1,3759.0037042152835,103.06852442451782,235.91487607915042,CRIT Rate,0.05000000074505806
25,1,3843.2772317212657,105.37926743924254,241.20385060167246,CRIT Rate,0.05000000074505806
26,1,3928.5421401873173,107.71719368334197,246.55504381605533,CRIT Rate,0.05000000074505806
27,1,4012.8156676932995,110.0279366980667,251.84401833857737,CRIT Rate,0.05000000074505806
28,1,4097.089195199282,112.33867971279142,257.1329928610994,CRIT Rate,0.05000000074505806
29,1,4182.354103665333,114.67660595689085,262.4841860754823,CRIT Rate,0.05000000074505806
30,1,4266.627631171315,116.98734897161557,267.7731605980043,CRIT Rate,0.05000000074505806
31,1,4351.892539637367,119.32527521571501,273.1243538123872,CRIT Rate,0.05000000074505806
32,1,4437.157448103419,121.66320145981445,278.4755470267701,CRIT Rate,0.05000000074505806
33,1,4522.42235656947,124.00112770391388,283.82674024115295,CRIT Rate,0.05000000074505806
34,1,4606.695884075452,126.3118707186386,289.115714763675,CRIT Rate,0.05000000074505806
35,1,4691.960792541504,128.64979696273804,294.46690797805786,CRIT Rate,0.05000000074505806
36,1,4778.217081967625,131.0149064362122,299.88031988430157,CRIT Rate,0.05000000074505806
37,1,4863.481990433676,133.35283268031162,305.23151309868445,CRIT Rate,0.05000000074505806
38,1,4948.746898899728,135.69075892441106,310.5827063130673,CRIT Rate,0.05000000074505806
39,1,5034.0118073657795,138.0286851685105,315.9338995274502,CRIT Rate,0.05000000074505806
40,1,5120.268569553446,140.39380760489803,321.3473411040286,CRIT Rate,0.05000000074505806
40,2,5724.273635471414,156.95414848624569,359.2553420500735,CRIT Rate,0.09800000116229057
41,2,5809.538543937466,159.29207473034512,364.6065352644564,CRIT Rate,0.09800000116229057
42,2,5895.794833363587,161.65718420381927,370.0199471707001,CRIT Rate,0.09800000116229057
43,2,5982.051122789708,164.02229367729342,375.4333590769438,CRIT Rate,0.09800000116229057
44,2,6067.316031255759,166.36021992139285,380.7845522913267,CRIT Rate,0.09800000116229057
45,2,6153.57232068188,168.725329394867,386.1979641975704,CRIT Rate,0.09800000116229057
46,2,6239.829082869546,171.09045183125454,391.6114057741488,CRIT Rate,0.09800000116229057
47,2,6326.085372295667,173.4555613047287,397.0248176803925,CRIT Rate,0.09800000116229057
48,2,6412.341661721788,175.82067077820284,402.4382295866362,CRIT Rate,0.09800000116229057
49,2,6499.5898048695235,178.2129764439651,407.91388985507547,CRIT Rate,0.09800000116229057
50,2,6585.846094295644,180.57808591743924,413.3273017613192,CRIT Rate,0.09800000116229057
50,3,7391.186182186269,202.65854169746854,463.8713004795809,CRIT Rate,0.1460000015795231
51,3,7477.44247161239,205.02365117094268,469.2847123858246,CRIT Rate,0.1460000015795231
52,3,7564.690141998581,207.41594387379155,474.76034298392915,CRIT Rate,0.1460000015795231
53,3,7650.946904186247,209.78106631017909,480.17378456050756,CRIT Rate,0.1460000015795231
54,3,7738.194574572437,212.17335901302795,485.6494151586121,CRIT Rate,0.1460000015795231
55,3,7825.442244958627,214.5656517158768,491.12504575671664,CRIT Rate,0.1460000015795231
56,3,7912.690388106363,216.95795738163906,496.6007060251559,CRIT Rate,0.1460000015795231
