level,ascension,base_hp,base_atk,base_def,ascension_stat,ascension_value
1,0,802.3760986328125,17.808000564575195,50.358001708984375,cryo_dmg,0
2,0,868.9732704374183,19.286063626419036,54.53771306537237,cryo_dmg,0
3,0,934.7681242990075,20.746319978408792,58.66707006996148,cryo_dmg,0
4,0,1001.3653917542979,22.22438516313173,62.84678742949109,cryo_dmg,0
5,0,1067.160245615887,23.684641515121484,66.9761444340802,cryo_dmg,0
6,0,1133.7574174204929,25.162704576965325,71.1558557904682,cryo_dmg,0
7,0,1199.552271282082,26.62296092895508,75.2852127950573,cryo_dmg,0
8,0,1266.1494430866878,28.10102399079892,79.4649241514453,cryo_dmg,0
9,0,1332.7467105419782,29.579089175521858,83.6446415109749,cryo_dmg,0
10,0,1398.5415644035675,31.039345527511614,87.77399851556402,cryo_dmg,0
11,0,1465.1387362081732,32.517408589355455,91.95370987195201,cryo_dmg,0
12,0,1530.9335900697624,33.97766494134521,96.08306687654112,cryo_dmg,0
13,0,1597.5308575250529,35.45573012606815,100.26278423607073,cryo_dmg,0
14,0,1663.3256157359574,36.91598435517881,104.39213523751823,cryo_dmg,0
15,0,1729.9227875405631,38.39404741702265,108.57184659390623,cryo_dmg,0
16,0,1796.5201506465382,39.87211472462468,112.75156995657744,cryo_dmg,0
17,0,1862.3150045081275,41.332371076614436,116.88092696116655,cryo_dmg,0
18,0,1928.9121763127332,42.81043413845828,121.06063831755455,cryo_dmg,0
19,0,1994.7070301743224,44.27069049044803,125.18999532214366,cryo_dmg,0
20,0,2061.304201978928,45.74875355229187,129.36970667853166,cryo_dmg,0
20,1,2660.720217603928,59.0525531815033,166.98970561041642,cryo_dmg,0
21,1,2726.5150714655174,60.512809533493055,171.11906261500553,cryo_dmg,0
22,1,2793.112243270123,61.990872595336896,175.29877397139353,cryo_dmg,0
23,1,2859.709415074729,63.46893565718074,179.47848532778153,cryo_dmg,0
24,1,2925.504268936318,64.92919200917049,183.60784233237064,cryo_dmg,0
25,1,2992.101632042293,66.40725931677252,187.78756569504185,cryo_dmg,0
26,1,3057.896294602513,67.86751142300409,191.91691069334775,cryo_dmg,0
27,1,3124.493657708488,69.34557873060612,196.09663405601896,cryo_dmg,0
28,1,3190.2885115700774,70.80583508259588,200.22599106060807,cryo_dmg,0
29,1,3256.885683374683,72.28389814443972,204.40570241699606,cryo_dmg,0
30,1,3322.6805372362724,73.74415449642947,208.53505942158517,cryo_dmg,0
31,1,3389.277709040878,75.22221755827331,212.71477077797317,cryo_dmg,0
32,1,3455.874880845484,76.70028062011716,216.89448213436117,cryo_dmg,0
33,1,3521.669734707073,78.16053697210691,221.02383913895028,cryo_dmg,0
34,1,3588.266906511679,79.63860003395075,225.20355049533828,cryo_dmg,0
35,1,3654.061760373268,81.09885638594051,229.3329074999274,cryo_dmg,0
36,1,3720.659123479243,82.57692369354254,233.5126308625986,cryo_dmg,0
37,1,3786.453786039463,84.0371757997741,237.6419758609045,cryo_dmg,0
38,1,3853.0509578440688,85.51523886161795,241.8216872172925,cryo_dmg,0
39,1,3919.648320950044,86.99330616921998,246.0014105799637,cryo_dmg,0
40,1,3985.4429835102637,88.45355827545154,250.1307555782696,cryo_dmg,0
40,2,4411.343862416514,97.90625889038074,276.8607551205059,cryo_dmg,0.05999999865889549
41,2,4477.941225522489,99.38432619798277,281.04047848317714,cryo_dmg,0.05999999865889549
42,2,4543.736270685447,100.84458679573072,285.16984749404946,cryo_dmg,0.05999999865889549
43,2,4610.333251188684,102.32264561181637,289.34954684415425,cryo_dmg,0.05999999865889549
44,2,4676.128296351642,103.78290620956432,293.47891585502657,cryo_dmg,0.05999999865889549
45,2,4742.725276854879,105.26096502564997,297.65861520513135,cryo_dmg,0.05999999865889549
46,2,4809.322639960854,106.739032333252,301.83833856780257,cryo_dmg,0.05999999865889549
47,2,4875.117302521074,108.19928443948356,305.96768356610846,cryo_dmg,0.05999999865889549
48,2,4941.714665627049,109.6773517470856,310.1474069287797,cryo_dmg,0.05999999865889549
49,2,5007.509328187269,111.13760385331716,314.27675192708557,cryo_dmg,0.05999999865889549
50,2,5074.106691293244,112.61567116091919,318.4564752897568,cryo_dmg,0.05999999865889549
50,3,5641.974489144806,125.21927070925904,354.0964746794052,cryo_dmg,0.11999999731779099
51,3,5707.769151705026,126.6795228154906,358.2258196777111,cryo_dmg,0.11999999731779099
52,3,5774.366514811001,128.15759012309263,362.4055430403823,cryo_dmg,0.11999999731779099
53,3,5840.963877916976,129.63565743069466,366.58526640305354,cryo_dmg,0.11999999731779099
54,3,5906.758540477196,131.09590953692623,370.71461140135943,cryo_dmg,0.11999999731779099
55,3,5973.355903583171,132.57397684452826,374.89433476403065,cryo_dmg,0.11999999731779099
56,3,6039.150566143391,134.03422895075983,379.02367976233654,cryo_dmg,0.11999999731779099
57,3,6105.747929249366,135.51229625836186,383.20340312500775,cryo_dmg,0.11999999731779099
58,3,6171.542591809586,136.97254836459342,387.33274812331365,cryo_dmg,0.11999999731779099
59,3,6238.139954915561,138.45061567219545,391.51247148598486,cryo_dmg,0.11999999731779099
60,3,6304.737318021536,139.9286829797975,395.6921948486561,cryo_dmg,0.11999999731779099
60,4,6730.638074857474,149.381384548401,422.42219820558967,cryo_dmg,0.11999999731779099
