level,ascension,hp,atk,def,ascension_stat,ascension_value
1,0,1029.5855712890625,26.62660026550293,58.45391082763672,CRIT DMG,0.5
2,0,1115.0411167564744,28.836606614739594,63.305582193062946,CRIT DMG,0.5
3,0,1200.4967849600507,31.04661613811436,68.15726052673836,CRIT DMG,0.5
4,0,1286.9819641113281,33.28325033187866,73.0673885345459,CRIT DMG,0.5
5,0,1372.43750957874,35.49325668111533,77.91905989997213,CRIT DMG,0.5
6,0,1458.9228114661819,37.72989404901773,82.82919487602885,CRIT DMG,0.5
7,0,1544.3783569335938,39.939900398254395,87.68086624145508,CRIT DMG,0.5
8,0,1630.8635360848712,42.1765345920187,92.59099424926262,CRIT DMG,0.5
9,0,1717.3487152361486,44.413168785783,97.50112225707016,CRIT DMG,0.5
10,0,1802.804383439725,46.623178309157765,102.35280059074557,CRIT DMG,0.5
11,0,1889.2895625910023,48.85981250292207,107.26292859855312,CRIT DMG,0.5
12,0,1975.7747417422797,51.09644669668637,112.17305660636066,CRIT DMG,0.5
13,0,2062.259920893557,53.333080890450674,117.0831846141682,CRIT DMG,0.5
14,0,2149.7747337287,55.596342928742615,122.05176926435706,CRIT DMG,0.5
15,0,2236.259790143813,57.83297394836882,126.96189030391542,CRIT DMG,0.5
16,0,2322.745092031255,60.06961131627122,131.87202527997215,CRIT DMG,0.5
17,0,2410.259904866398,62.33287335456316,136.840609930161,CRIT DMG,0.5
18,0,2496.7449612815108,64.56950437418936,141.75073096971937,CRIT DMG,0.5
19,0,2584.2597741166537,66.8327664124813,146.71931561990823,CRIT DMG,0.5
20,0,2670.7450760040956,69.06940378038371,151.62945059596495,CRIT DMG,0.5
20,1,3553.5216262970644,91.89763749925578,201.74954870997863,CRIT DMG,0.5
21,1,3641.0361936598783,94.16089318927152,206.71811942366912,CRIT DMG,0.5
22,1,3728.5510064950213,96.42415522756346,211.68670407385798,CRIT DMG,0.5
23,1,3816.0658193301642,98.6874172658554,216.65528872404684,CRIT DMG,0.5
24,1,3903.580632165307,100.95067930414734,221.6238733742357,CRIT DMG,0.5
25,1,3991.09544500045,103.21394134243928,226.59245802442456,CRIT DMG,0.5
26,1,4079.639768783294,105.50382805112076,231.61949234874555,CRIT DMG,0.5
