level,ascension,hp,atk,def,ascension_stat,ascension_value
1,0,975.6163940429688,18.698400497436523,66.38099670410156,er,0
2,0,1056.592500784158,20.250366704457065,71.8906157588026,er,0
3,0,1136.5930618432467,21.783635866226177,77.33385862804425,er,0
4,0,1217.569284886973,23.335604302269758,82.84348559597674,er,0
5,0,1297.5698459460618,24.86887346403887,88.2867284652184,er,0
6,0,1378.545952687251,26.42083967105941,93.79634751991944,er,0
7,0,1458.5465137463398,27.954108832828524,99.2395903891611,er,0
8,0,1539.522620487529,29.506075039849065,104.74920944386213,er,0
9,0,1620.4988435312553,31.058043475892646,110.25883641179462,er,0
10,0,1700.499404590344,32.59131263766176,115.70207928103628,er,0
11,0,1781.4755113315332,34.1432788446823,121.21169833573731,er,0
12,0,1861.476072390622,35.67654800645141,126.65494120497897,er,0
13,0,1942.4522954343483,37.22851644249499,132.16456817291146,er,0
14,0,2022.4527401909,38.761783375241066,137.60780312892166,er,0
15,0,2103.428846932089,40.31374958226161,143.1174221836227,er,0
16,0,2184.4051862783526,41.86572024732823,148.62705706478664,er,0
17,0,2264.4057473374414,43.39898940909734,154.0702999340283,er,0
18,0,2345.3818540786306,44.95095561611788,159.57991898872933,er,0
19,0,2425.3824151377194,46.48422477788699,165.023161857971,er,0
20,0,2506.3585218789085,48.036190984907535,170.53278091267202,er,0
20,1,3235.1939100625023,62.00518131083527,220.12278106525991,er,0
21,1,3315.194471121591,63.53845047260438,225.56602393450157,er,0
22,1,3396.17057786278,65.09041667962492,231.0756429892026,er,0
23,1,3477.1466846039693,66.64238288664546,236.58526204390364,er,0
24,1,3557.147245663058,68.17565204841458,242.0285049131453,er,0
25,1,3638.1235850093217,69.7276227134812,247.53813979430925,er,0
26,1,3718.123913463336,71.26088741720423,252.981366837088,er,0
27,1,3799.1002528095996,72.81285808227085,258.49100171825194,er,0
28,1,3879.1008138686884,74.34612724403996,263.9342445874936,er,0
29,1,3960.0769206098776,75.8980934510605,269.44386364219463,er,0
30,1,4040.0774816689664,77.43136261282962,274.8871065114363,er,0
