Level,Ascension,HP,ATK,DEF,Ascension Stat,Ascension Value
1,0,962.8532104492188,22.3439998626709,71.7959976196289,Healing Bonus,0
2,0,1042.769973658098,24.198550615356453,77.75506145079817,Healing Bonus,0
3,0,1122.6868516480245,26.053104031654357,83.7141338407173,Healing Bonus,0
4,0,1203.5665130615234,27.929999828338623,89.74499702453613,Healing Bonus,0
5,0,1283.4832762704027,29.784550581024178,95.7040608557054,Healing Bonus,0
6,0,1364.3630524649489,31.661449041320793,101.7349325982741,Healing Bonus,0
7,0,1444.2798156738281,33.51599979400635,107.69399642944336,Healing Bonus,0
8,0,1525.159477087327,35.392895590690614,113.7248596132622,Healing Bonus,0
9,0,1606.039138500826,37.26979138737488,119.75572279708103,Healing Bonus,0
10,0,1685.9560164907525,39.124344803672784,125.71479518700016,Healing Bonus,0
11,0,1766.8356779042515,41.00124060035705,131.745658370819,Healing Bonus,0
12,0,1847.7153393177505,42.87813639704132,137.77652155463784,Healing Bonus,0
13,0,1928.5950007312495,44.75503219372558,143.80738473845668,Healing Bonus,0
14,0,2010.4375603493681,46.65427303440856,149.9100472749251,Healing Bonus,0
15,0,2091.31710698182,48.53116616748048,155.94090189999406,Healing Bonus,0
16,0,2172.196883176366,50.408064627777094,161.97177364256277,Healing Bonus,0
17,0,2254.039442794485,52.30730546846007,168.07443617903118,Healing Bonus,0
18,0,2334.9189894269366,54.18419860153199,174.10529080410015,Healing Bonus,0
19,0,2416.7615490450553,56.08343944221497,180.20795334056857,Healing Bonus,0
20,0,2497.6413252396014,57.96033790251158,186.23882508313727,Healing Bonus,0
20,1,3323.2008955521014,77.11689880033873,247.7988264564283,Healing Bonus,0
21,1,3405.043225608126,79.01613431379701,253.90147187539696,Healing Bonus,0
22,1,3486.8857852262445,80.91537515447999,260.0041344118654,Healing Bonus,0
23,1,3568.728344844363,82.81461599516297,266.1067969483338,Healing Bonus,0
24,1,3650.570904462482,84.71385683584595,272.2094594848022,Healing Bonus,0
25,1,3732.4134640806005,86.61309767652892,278.3121220212706,Healing Bonus,0
26,1,3815.2188071222918,88.53468089759826,284.48657535163875,Healing Bonus,0
27,1,3897.0613667404104,90.43392173828124,290.58923788810716,Healing Bonus,0
28,1,3978.903926358529,92.33316257896422,296.6919004245756,Healing Bonus,0
29,1,4061.7092694002204,94.25474580003356,302.8663537549437,Healing Bonus,0
30,1,4143.551829018339,96.15398664071654,308.9690162914121,Healing Bonus,0
31,1,4226.35717206003,98.07556986178588,315.14346962178024,Healing Bonus,0
32,1,4309.1625151017215,99.99715308285522,321.31792295214836,Healing Bonus,0
33,1,4391.967858143413,101.91873630392456,327.4923762825165,Healing Bonus,0
34,1,4473.810417761531,103.81797714460754,333.5950388189849,Healing Bonus,0
