level,ascension,hp,atk,def,ascension_stat,ascension_value
1,0,820.6118774414062,17.808000564575195,48.069000244140625,geo_dmg,0
2,0,888.7226178784476,19.286063626419036,52.05872460555838,geo_dmg,0
3,0,956.0128059153794,20.746319978408792,56.00038345073699,geo_dmg,0
4,0,1024.1236441769797,22.22438516313173,59.990113542426116,geo_dmg,0
5,0,1091.4138322139115,23.684641515121484,63.931772387604724,geo_dmg,0
6,0,1159.524572650953,25.162704576965325,67.92149674902248,geo_dmg,0
7,0,1226.8147606878847,26.62296092895508,71.86315559420109,geo_dmg,0
8,0,1294.925501124926,28.10102399079892,75.85287995561885,geo_dmg,0
9,0,1363.0363393865264,29.579089175521858,79.84261004730797,geo_dmg,0
10,0,1430.3265274234582,31.039345527511614,83.78426889248658,geo_dmg,0
11,0,1498.4372678604996,32.517408589355455,87.77399325390434,geo_dmg,0
12,0,1565.7274558974314,33.97766494134521,91.71565209908294,geo_dmg,0
13,0,1633.8382941590316,35.45573012606815,95.70538219077207,geo_dmg,0
14,0,1701.1283843714045,36.91598435517881,99.64703530567931,geo_dmg,0
15,0,1769.239124808446,38.39404741702265,103.63675966709707,geo_dmg,0
16,0,1837.3500608946051,39.87211472462468,107.62649548905756,geo_dmg,0
17,0,1904.640248931537,41.332371076614436,111.56815433423617,geo_dmg,0
18,0,1972.7509893685783,42.81043413845828,115.55787869565393,geo_dmg,0
19,0,2040.04117740551,44.27069049044803,119.49953754083253,geo_dmg,0
20,0,2108.1519178425515,45.74875355229187,123.48926190225029,geo_dmg,0
20,1,2721.1910413777077,59.0525531815033,159.3992617496624,geo_dmg,0
21,1,2788.4812294146395,60.512809533493055,163.340920594841,geo_dmg,0
22,1,2856.591969851681,61.990872595336896,167.33064495625877,geo_dmg,0
23,1,2924.7027102887223,63.46893565718074,171.32036931767652,geo_dmg,0
24,1,2991.992898325654,64.92919200917049,175.26202816285513,geo_dmg,0
25,1,3060.1038344118133,66.40725931677252,179.25176398481563,geo_dmg,0
26,1,3127.3938267996273,67.86751142300409,183.1934113694515,geo_dmg,0
27,1,3195.5047628857865,69.34557873060612,187.183147191412,geo_dmg,0
28,1,3262.7949509227183,70.80583508259588,191.1248060365906,geo_dmg,0
29,1,3330.9056913597597,72.28389814443972,195.11453039800836,geo_dmg,0
30,1,3398.1958793966915,73.74415449642947,199.05618924318696,geo_dmg,0
31,1,3466.306619833733,75.22221755827331,203.04591360460472,geo_dmg,0
32,1,3534.417360270774,76.70028062011716,207.03563796602248,geo_dmg,0
33,1,3601.707548307706,78.16053697210691,210.9772968112011,geo_dmg,0
34,1,3669.8182887447474,79.63860003395075,214.96702117261884,geo_dmg,0
35,1,3737.108476781679,81.09885638594051,218.90868001779745,geo_dmg,0
36,1,3805.2194128678384,82.57692369354254,222.89841583975794,geo_dmg,0
37,1,3872.5094052556524,84.0371757997741,226.84006322439382,geo_dmg,0
38,1,3940.6201456926938,85.51523886161795,230.82978758581157,geo_dmg,0
39,1,4008.731081778853,86.99330616921998,234.81952340777207,geo_dmg,0
40,1,4076.021074166667,88.45355827545154,238.76117079240794,geo_dmg,0
40,2,4511.601457467448,97.90625889038074,264.2761701820564,geo_dmg,0.05999999865889549
41,2,4579.712393553607,99.38432619798277,268.26590600401687,geo_dmg,0.05999999865889549
42,2,4647.002777239657,100.84458679573072,272.2075763097382,geo_dmg,0.05999999865889549
43,2,4715.113322027581,102.32264561181637,276.19728921061323,geo_dmg,0.05999999865889549
44,2,4782.40370571363,103.78290620956432,280.1389595163346,geo_dmg,0.05999999865889549
45,2,4850.514250501554,105.26096502564997,284.1286724172096,geo_dmg,0.05999999865889549
46,2,4918.625186587713,106.739032333252,288.1184082391701,geo_dmg,0.05999999865889549
47,2,4985.915178975527,108.19928443948356,292.06005562380597,geo_dmg,0.05999999865889549
48,2,5054.026115061686,109.6773517470856,296.04979144576646,geo_dmg,0.05999999865889549
49,2,5121.3161074495,111.13760385331716,299.99143883040233,geo_dmg,0.05999999865889549
50,2,5189.427043535659,112.61567116091919,303.9811746523628,geo_dmg,0.05999999865889549
50,3,5770.200969316909,125.21927070925904,338.0011751101265,geo_dmg,0.11999999731779099
51,3,5837.490961704723,126.6795228154906,341.94282249476237,geo_dmg,0.11999999731779099
52,3,5905.6018977908825,128.15759012309263,345.93255831672286,geo_dmg,0.11999999731779099
53,3,5973.712833877042,129.63565743069466,349.92229413868336,geo_dmg,0.11999999731779099
54,3,6041.002826264856,131.09590953692623,353.8639415233192,geo_dmg,0.11999999731779099
55,3,6109.113762351015,132.57397684452826,357.8536773452797,geo_dmg,0.11999999731779099
56,3,6176.403754738829,134.03422895075983,361.7953247299156,geo_dmg,0.11999999731779099
57,3,6244.514690824988,135.51229625836186,365.7850605518761,geo_dmg,0.11999999731779099
58,3,6311.804683212802,136.97254836459342,369.72670793651196,geo_dmg,0.11999999731779099
59,3,6379.915619298961,138.45061567219545,373.71644375847245,geo_dmg,0.11999999731779099
60,3,6448.02655538512,139.9286829797975,377.70617958043294,geo_dmg,0.11999999731779099
60,4,6883.606999721058,149.381384548401,403.2211789700814,geo_dmg,0.11999999731779099
61,4,6950.896992108872,150.84163665463257,407.16282635471725,geo_dmg,0.11999999731779099
62,4,7019.007928195031,152.3197039622346,411.15256217667775,geo_dmg,0.11999999731779099
63,4,7086.297920582845,153.77995606846616,415.0942095613136,geo_dmg,0.11999999731779099
64,4,7154.408856669004,155.2580233760682,419.0839453832741,geo_dmg,0.11999999731779099
65,4,7221.698849056818,156.71827548229976,423.02559276791,geo_dmg,0.11999999731779099
66,4,7289.8097851429775,158.1963427899018,427.0153285898705,geo_dmg,0.11999999731779099
67,4,7357.920329930901,159.67440160598744,431.0050414907455,geo_dmg,0.11999999731779099
68,4,7425.210713616951,161.1346622037354,434.94671179646684,geo_dmg,0.11999999731779099
69,4,7493.321258404874,162.61272101982104,438.93642469734186,geo_dmg,0.11999999731779099
70,4,7560.611642090924,164.07298161756898,442.8780950030632,geo_dmg,0.11999999731779099
70,5,7996.191964356549,173.52567937147523,468.3931020221062,geo_dmg,0.18000000715255737
71,5,8064.302900442708,175.00374667907727,472.38283784406667,geo_dmg,0.18000000715255737
72,5,8131.592892830522,176.46399878530883,476.32448522870254,geo_dmg,0.18000000715255737
73,5,8199.703828916681,177.94206609291086,480.31422105066304,geo_dmg,0.18000000715255737
74,5,8267.814373704605,179.4201249089965,484.30393395153806,geo_dmg,0.18000000715255737
75,5,8335.104757390654,180.88038550674446,488.2456042572594,geo_dmg,0.18000000715255737
76,5,8403.215302178578,182.3584443228301,492.2353171581344,geo_dmg,0.18000000715255737
77,5,8470.505685864628,183.81870492057806,496.17698746385577,geo_dmg,0.18000000715255737
78,5,8538.616230652551,185.2967637366637,500.1667003647308,geo_dmg,0.18000000715255737
79,5,8605.9066143386,186.75702433441165,504.10837067045213,geo_dmg,0.18000000715255737
