Level,Ascension,HP,ATK,DEF,Ascension Stat,Ascension Value
1,0,810.322021484375,22.3439998626709,50.855499267578125,Energy Recharge,0
2,0,877.5787044461467,24.198550615356453,55.076502893811266,Energy Recharge,0
3,0,944.835484005831,26.053104031654357,59.297512582492345,Energy Recharge,0
4,0,1012.9025268554688,27.929999828338623,63.569374084472656,Energy Recharge,0
5,0,1080.1592098172405,29.784550581024178,67.7903777107058,Energy Recharge,0
6,0,1148.2263492647908,31.661449041320793,72.06224527513405,Energy Recharge,0
7,0,1215.4830322265625,33.51599979400635,76.28324890136719,Energy Recharge,0
8,0,1283.5500750762003,35.392895590690614,80.5551104033475,Energy Recharge,0
9,0,1351.617117925838,37.26979138737488,84.82697190532781,Energy Recharge,0
10,0,1418.8738974855223,39.124344803672784,89.04798159400889,Energy Recharge,0
11,0,1486.9409403351601,41.00124060035705,93.3198430959892,Energy Recharge,0
12,0,1555.007983184798,42.87813639704132,97.59170459796951,Energy Recharge,0
13,0,1623.0750260344357,44.75503219372558,101.86356609994982,Energy Recharge,0
14,0,1691.9524287719396,46.65427303440856,106.1862854776773,Energy Recharge,0
15,0,1760.019375023665,48.53116616748048,110.45814091720968,Energy Recharge,0
16,0,1828.0865144712152,50.408064627777094,114.73000848163792,Energy Recharge,0
17,0,1896.963917208719,52.30730546846007,119.0527278593654,Energy Recharge,0
18,0,1965.0308634604444,54.18419860153199,123.32458329889778,Energy Recharge,0
19,0,2033.9082661979483,56.08343944221497,127.64730267662526,Energy Recharge,0
20,0,2101.9754056454985,57.96033790251158,131.9191702410535,Energy Recharge,0
20,1,2796.7532376767485,77.11689880033873,175.52416978328984,Energy Recharge,0
21,1,2865.6304472184274,79.01613431379701,179.84687703612144,Energy Recharge,0
22,1,2934.5078499559313,80.91537515447999,184.16959641384892,Energy Recharge,0
23,1,3003.385252693435,82.81461599516297,188.4923157915764,Energy Recharge,0
24,1,3072.262655430939,84.71385683584595,192.81503516930388,Energy Recharge,0
25,1,3141.140058168443,86.61309767652892,197.13775454703136,Energy Recharge,0
26,1,3210.8277241959004,88.53468089759826,201.51132573805808,Energy Recharge,0
27,1,3279.7051269334042,90.43392173828124,205.83404511578556,Energy Recharge,0
28,1,3348.582529670908,92.33316257896422,210.15676449351304,Energy Recharge,0
29,1,3418.2701956983656,94.25474580003356,214.53033568453975,Energy Recharge,0
30,1,3487.1475984358694,96.15398664071654,218.85305506226723,Energy Recharge,0
31,1,3556.835264463327,98.07556986178588,223.22662625329394,Energy Recharge,0
32,1,3626.5229304907843,99.99715308285522,227.60019744432066,Energy Recharge,0
33,1,3696.210596518242,101.91873630392456,231.97376863534737,Energy Recharge,0
34,1,3765.0879992557457,103.81797714460754,236.29648801307485,Energy Recharge,0
35,1,3834.775665283203,105.73956036567688,240.67005920410156,Energy Recharge,0
36,1,3905.273594600614,107.68348596713258,245.0944822084275,Energy Recharge,0
37,1,3974.9612606280716,109.60506918820192,249.46805339945422,Energy Recharge,0
38,1,4044.648926655529,111.52665240927126,253.84162459048093,Energy Recharge,0
39,1,4114.3365926829865,113.4482356303406,258.21519578150765,Energy Recharge,0
40,1,4184.8349083920475,115.3921718862457,262.63964303562534,Energy Recharge,0
40,2,4678.4928673764225,129.00341036585996,293.6221450192679,Energy Recharge,0.07999999821186066
41,2,4748.18053340388,130.9249935869293,297.99571621029463,Energy Recharge,0.07999999821186066
42,2,4818.678462721291,132.868919188385,302.4201392146206,Energy Recharge,0.07999999821186066
43,2,4889.176392038702,134.8128447898407,306.8445622189465,Energy Recharge,0.07999999821186066
44,2,4958.8640580661595,136.73442801091005,311.21813340997323,Energy Recharge,0.07999999821186066
45,2,5029.3619873835705,138.67835361236575,315.6425564142992,Energy Recharge,0.07999999821186066
46,2,5099.8603030926315,140.62228986827085,320.0670036684169,Energy Recharge,0.07999999821186066
47,2,5170.358232410043,142.56621546972656,324.4914266727428,Energy Recharge,0.07999999821186066
