level,ascension,hp,atk,def,ascension_stat,ascension_value
1,0,1020.0524291992188,23.461200714111328,63.4197998046875,hydro_dmg,0
2,0,1104.7167244004813,25.408479075670584,68.68363968053018,hydro_dmg,0
3,0,1189.3811412014693,27.35576023402291,73.94748711660213,hydro_dmg,0
4,0,1275.0655364990234,29.32650089263916,79.27474975585938,hydro_dmg,0
5,0,1359.729831700286,31.273779254198416,84.53858963170205,hydro_dmg,0
6,0,1445.4143485975655,33.244522709607736,89.86585983118857,hydro_dmg,0
7,0,1530.0786437988281,35.19180107116699,95.12969970703125,hydro_dmg,0
8,0,1615.7630390963823,37.16254172978324,100.45696234628849,hydro_dmg,0
9,0,1701.4474343939364,39.13328238839949,105.78422498554573,hydro_dmg,0
10,0,1786.1118511949244,41.08056354675182,111.04807242161769,hydro_dmg,0
11,0,1871.7962464924785,43.05130420536807,116.37533506087493,hydro_dmg,0
12,0,1957.4806417900327,45.02204486398432,121.70259770013217,hydro_dmg,0
13,0,2043.1650370875868,46.99278552260057,127.02986033938942,hydro_dmg,0
14,0,2129.8695324814325,48.986988478273815,132.42054574206122,hydro_dmg,0
15,0,2215.5538061792613,50.957726340097,137.74780082108919,hydro_dmg,0
16,0,2301.238323076541,52.92846979550632,143.0750710205757,hydro_dmg,0
17,0,2387.9428184703866,54.92267275117956,148.4657564232475,hydro_dmg,0
18,0,2473.6270921682153,56.89341061300274,153.79301150227548,hydro_dmg,0
19,0,2560.331587562061,58.88761356867599,159.18369690494728,hydro_dmg,0
20,0,2646.0161044593406,60.85835702408531,164.5109671044338,hydro_dmg,0
20,1,3520.6188266273093,80.97274453629234,218.88896545648458,hydro_dmg,0
21,1,3607.3230788217043,82.96694189837945,224.27963573869783,hydro_dmg,0
22,1,3694.02757421555,84.96114485405269,229.67032114136964,hydro_dmg,0
23,1,3780.7320696093957,86.95534780972594,235.06100654404145,hydro_dmg,0
24,1,3867.4365650032414,88.94955076539918,240.45169194671325,hydro_dmg,0
25,1,3954.141060397087,90.94375372107243,245.84237734938506,hydro_dmg,0
26,1,4041.865534287499,92.9614161770096,251.29647795524215,hydro_dmg,0
27,1,4128.570029681345,94.95561913268284,256.68716335791396,hydro_dmg,0
28,1,4215.2745250751905,96.94982208835609,262.07784876058577,hydro_dmg,0
29,1,4302.998998965602,98.96748454429326,267.53194936644286,hydro_dmg,0
30,1,4389.703494359448,100.9616874999665,272.92263476911467,hydro_dmg,0
31,1,4477.42796824986,102.97934995590367,278.37673537497176,hydro_dmg,0
32,1,4565.152442140272,104.99701241184084,283.83083598082885,hydro_dmg,0
33,1,4652.876916030684,107.01467486777801,289.28493658668594,hydro_dmg,0
34,1,4739.5814114245295,109.00887782345126,294.67562198935775,hydro_dmg,0
35,1,4827.305885314941,111.02654027938843,300.12972259521484,hydro_dmg,0
36,1,4916.0503377019195,113.06766223558952,305.6472384042572,hydro_dmg,0
37,1,5003.774811592331,115.0853246915267,311.1013390101143,hydro_dmg,0
38,1,5091.499285482743,117.10298714746386,316.5554396159714,hydro_dmg,0
39,1,5179.223759373155,119.12064960340103,322.0095402218285,hydro_dmg,0
40,1,5267.968698159035,121.1617827467744,327.527086271788,hydro_dmg,0
40,2,5889.396859780129,135.45358419941113,366.16408730938565,hydro_dmg,0.07199999690055847
41,2,5977.1213336705405,137.4712466553483,371.61818791524274,hydro_dmg,0.07199999690055847
42,2,6065.865786057519,139.5123686115494,377.1357037242851,hydro_dmg,0.07199999690055847
43,2,6154.610238444497,141.5534905677505,382.6532195333275,hydro_dmg,0.07199999690055847
44,2,6242.3347123349085,143.57115302368766,388.1073201391846,hydro_dmg,0.07199999690055847
45,2,6331.079164721887,145.61227497988875,393.624835948227,hydro_dmg,0.07199999690055847
46,2,6419.824103507766,147.65340812326212,399.14238199818647,hydro_dmg,0.07199999690055847
47,2,6508.568555894744,149.69453007946322,404.65989780722884,hydro_dmg,0.07199999690055847
48,2,6597.313008281722,151.73565203566432,410.1774136162712,hydro_dmg,0.07199999690055847
49,2,6687.077925564168,153.8002446793016,415.758374869416,hydro_dmg,0.07199999690055847
50,2,6775.822377951146,155.8413666355027,421.2758906784584,hydro_dmg,0.07199999690055847
50,3,7604.393300802709,174.89710317725076,472.79189714818494,hydro_dmg,0.14399999380111694
51,3,7693.137753189687,176.93822513345185,478.3094129572273,hydro_dmg,0.14399999380111694
52,3,7782.902184073231,179.00280658991687,483.890343969455,hydro_dmg,0.14399999380111694
53,3,7871.647122859111,181.04393973329024,489.4078900194145,hydro_dmg,0.14399999380111694
54,3,7961.411553742655,183.10852118975527,494.98882103164215,hydro_dmg,0.14399999380111694
55,3,8051.175984626199,185.1731026462203,500.5697520438698,hydro_dmg,0.14399999380111694
56,3,8140.940901908645,187.23769528985758,506.1507132970146,hydro_dmg,0.14399999380111694
57,3,8230.70533279219,189.3022767463226,511.73164430924226,hydro_dmg,0.14399999380111694
58,3,8320.469763675734,191.36685820278763,517.3125753214699,hydro_dmg,0.14399999380111694
59,3,8410.23468095818,193.43145084642492,522.8935365746147,hydro_dmg,0.14399999380111694
60,3,8499.999111841724,195.49603230288994,528.4744675868424,hydro_dmg,0.14399999380111694
60,4,9121.427334497974,209.78783757022393,567.1114609950455,hydro_dmg,0.14399999380111694
61,4,9211.19225178042,211.85243021386123,572.6924222481903,hydro_dmg,0.14399999380111694
62,4,9300.956682663964,213.91701167032625,578.2733532604179,hydro_dmg,0.14399999380111694
63,4,9391.741092044074,216.0050526270552,583.9176994758309,hydro_dmg,0.14399999380111694
64,4,9481.50600932652,218.0696452706925,589.4986607289757,hydro_dmg,0.14399999380111694
65,4,9572.29041870663,220.15768622742144,595.1430069443886,hydro_dmg,0.14399999380111694
66,4,9663.075314485643,222.24573837132266,600.7873834007187,hydro_dmg,0.14399999380111694
67,4,9752.839745369187,224.31031982778768,606.3683144129463,hydro_dmg,0.14399999380111694
68,4,9843.624641148199,226.3983719716889,612.0126908692764,hydro_dmg,0.14399999380111694
69,4,9934.40905052831,228.48641292841785,617.6570370846894,hydro_dmg,0.14399999380111694
70,4,10025.193946307321,230.57446507231907,623.3014135410194,hydro_dmg,0.14399999380111694
70,5,10646.622413104196,244.8662665249558,661.9384069492226,hydro_dmg,0.2160000056028366
71,5,10737.406822484307,246.95430748168474,667.5827531646355,hydro_dmg,0.2160000056028366
72,5,10829.211696759885,249.06581912584988,673.2905448241509,hydro_dmg,0.2160000056028366
73,5,10919.996592538897,251.1538712697511,678.9349212804809,hydro_dmg,0.2160000056028366
74,5,11010.781001919007,253.24191222648005,684.5792674958939,hydro_dmg,0.2160000056028366
75,5,11102.585876194586,255.3534238706452,690.2870591554092,hydro_dmg,0.2160000056028366
76,5,11193.370285574696,257.44146482737415,695.9314053708222,hydro_dmg,0.2160000056028366
77,5,11285.175159850274,259.5529764715393,701.6391970303375,hydro_dmg,0.2160000056028366
78,5,11376.980034125852,261.66448811570444,707.3469886898529,hydro_dmg,0.2160000056028366
79,5,11468.784422002529,263.7759885726973,713.0547501084511,hydro_dmg,0.2160000056028366
80,5,11560.589296278107,265.88750021686246,718.7625417679665,hydro_dmg,0.2160000056028366
80,6,12182.017518934357,280.1793016694992,757.3995351761696,hydro_dmg,0.2879999876022339
81,6,12273.822393209935,282.29081331366433,763.107326835685,hydro_dmg,0.2879999876022339
82,6,12365.626781086612,284.4023137706572,768.8150882542832,hydro_dmg,0.2879999876022339
83,6,12457.43165536219,286.51382541482235,774.5228799137985,hydro_dmg,0.2879999876022339
84,6,12549.236529637768,288.6253370589875,780.2306715733139,hydro_dmg,0.2879999876022339
85,6,12641.041403913347,290.73684870315265,785.9384632328292,hydro_dmg,0.2879999876022339
86,6,12733.86577028659,292.87180866040944,791.7096398546128,hydro_dmg,0.2879999876022339
87,6,12825.670644562168,294.9833203045746,797.4174315141281,hydro_dmg,0.2879999876022339
88,6,12918.49501093541,297.1182802618314,803.1886081359116,hydro_dmg,0.2879999876022339
89,6,13011.320350106456,299.25326259343274,808.9598452395294,hydro_dmg,0.2879999876022339
90,6,13103.125224382035,301.3647742375979,814.6676368990447,hydro_dmg,0.2879999876022339
