Level,Ascension,HP,ATK,DEF,Ascension Stat,Ascension Value
1,0,857.0835571289062,16.917600631713867,63.51974868774414,ATK,0
2,0,928.2214449626481,18.321760548381008,68.79188431535204,ATK,0
3,0,998.5023113600328,19.709004090591407,74.00050479813581,ATK,0
4,0,1069.6403013660965,21.1131660239937,79.27264799788782,ATK,0
5,0,1139.9211677634812,22.500409566204098,84.48126848067159,ATK,0
6,0,1211.059055597223,23.90456948287124,89.75340410827948,ATK,0
7,0,1281.3399219946077,25.291813025081638,94.96202459106325,ATK,0
8,0,1352.4778098283496,26.695972941748778,100.23416021867115,ATK,0
9,0,1423.6157998344133,28.10013487515107,105.50630341842316,ATK,0
10,0,1493.896666231798,29.48737841736147,110.71492390120693,ATK,0
11,0,1565.0345540655399,30.89153833402861,115.98705952881483,ATK,0
12,0,1635.3154204629245,32.27878187623901,121.1956800115986,ATK,0
13,0,1706.4534104689883,33.6829438096413,126.4678232113506,ATK,0
14,0,1776.734174694051,35.07018533511655,131.67643612199026,ATK,0
15,0,1847.8720625277929,36.47434525178369,136.94857174959816,ATK,0
16,0,1919.0101547061786,37.87850920192113,142.22072252149428,ATK,0
17,0,1989.2910211035633,39.26575274413153,147.42934300427805,ATK,0
18,0,2060.428908937305,40.66991266079867,152.70147863188595,ATK,0
19,0,2130.7097753346898,42.05715620300907,157.91009911466972,ATK,0
20,0,2201.8476631684316,43.46131611967621,163.18223474227761,ATK,0
20,1,2842.132941488744,56.099926005845646,210.63473413192605,ATK,0
21,1,2912.413807886129,57.487169548056045,215.84335461470982,ATK,0
22,1,2983.5516957198706,58.891329464723185,221.11549024231772,ATK,0
23,1,3054.6895835536125,60.295489381390325,226.3876258699256,ATK,0
24,1,3124.970449950997,61.682732923600724,231.5962463527094,ATK,0
25,1,3196.108542129383,63.08689687373817,236.8683971246055,ATK,0
26,1,3266.3892041821236,64.47413638247826,242.07700246310105,ATK,0
27,1,3337.5272963605094,65.87830033261571,247.34915323499717,ATK,0
28,1,3407.808162757894,67.26554387482611,252.55777371778095,ATK,0
29,1,3478.946050591636,68.66970379149325,257.82990934538884,ATK,0
30,1,3549.2269169890205,70.05694733370365,263.0385298281726,ATK,0
31,1,3620.3648048227624,71.46110725037079,268.3106654557805,ATK,0
32,1,3691.502692656504,72.86526716703793,273.5828010833884,ATK,0
33,1,3761.783559053889,74.25251070924833,278.7914215661722,ATK,0
34,1,3832.9214468876307,75.65667062591547,284.06355719378007,ATK,0
35,1,3903.2023132850154,77.04391416812587,289.27217767656384,ATK,0
36,1,3974.340405463401,78.44807811826331,294.54432844845996,ATK,0
37,1,4044.621067516142,79.8353176270034,299.7529337869555,ATK,0
38,1,4115.758955349884,81.23947754367055,305.0250694145634,ATK,0
39,1,4186.8970475282695,82.64364149380799,310.2972201864595,ATK,0
40,1,4257.17770958101,84.03088100254809,315.50582552495507,ATK,0
40,2,4712.117284776323,93.01094634831225,349.2220730835488,ATK,0.05999999865889549
41,2,4783.2553769547085,94.41511029844969,354.49422385544494,ATK,0.05999999865889549
42,2,4853.536447696737,95.8023578741304,359.70285948251694,ATK,0.05999999865889549
43,2,4924.674131185835,97.20651375732723,364.9749799658366,ATK,0.05999999865889549
44,2,4994.9552019278635,98.59376133300793,370.1836155929086,ATK,0.05999999865889549
45,2,5066.0928854169615,99.99791721620477,375.4557360762283,ATK,0.05999999865889549
46,2,5137.230977595347,101.40208116634221,380.7278868481244,ATK,0.05999999865889549
47,2,5207.511639648088,102.78932067508231,385.93649218661994,ATK,0.05999999865889549
48,2,5278.649731826474,104.19348462521975,391.20864295851607,ATK,0.05999999865889549
49,2,5348.9303938792145,105.58072413395985,396.4172482970116,ATK,0.05999999865889549
50,2,5420.0684860576,106.98488808409729,401.68939906890773,ATK,0.05999999865889549
50,3,6026.654545627913,118.95830727355042,446.6444008999624,ATK,0.11999999731779099
51,3,6096.935207680654,120.34554678229051,451.85300623845797,ATK,0.11999999731779099
52,3,6168.073299859039,121.74971073242796,457.1251570103541,ATK,0.11999999731779099
53,3,6239.211392037425,123.1538746825654,462.3973077822502,ATK,0.11999999731779099
54,3,6309.492054090166,124.5411141913055,467.60591312074575,ATK,0.11999999731779099
55,3,6380.6301462685515,125.94527814144294,472.8780638926419,ATK,0.11999999731779099
56,3,6450.910808321292,127.33251765018304,478.0866692311374,ATK,0.11999999731779099
57,3,6522.048900499678,128.73668160032048,483.35882000303354,ATK,0.11999999731779099
58,3,6592.329562552419,130.12392110906057,488.5674253415291,ATK,0.11999999731779099
59,3,6663.4676547308045,131.52808505919802,493.8395761134252,ATK,0.11999999731779099
60,3,6734.60574690919,132.93224900933546,499.11172688532133,ATK,0.11999999731779099
60,4,7189.545322104503,141.9123134014253,532.8279744439151,ATK,0.11999999731779099
61,4,7259.8259841572435,143.2995529101654,538.0365797824106,ATK,0.11999999731779099
62,4,7330.964076335629,144.70371686030285,543.3087305543067,ATK,0.11999999731779099
63,4,7401.24473838837,146.09095636904294,548.5173358928023,ATK,0.11999999731779099
64,4,7472.382830566756,147.4951203191804,553.7894866646984,ATK,0.11999999731779099
65,4,7542.6634926194965,148.88235982792048,558.998092003194,ATK,0.11999999731779099
66,4,7613.801584797882,150.28652377805793,564.2702427750901,ATK,0.11999999731779099
67,4,7684.93926828698,151.69067966125476,569.5423632584098,ATK,0.11999999731779099
68,4,7755.220339029009,153.07792723693547,574.7509988854817,ATK,0.11999999731779099
69,4,7826.358022518107,154.4820831201323,580.0231193688014,ATK,0.11999999731779099
70,4,7896.639093260135,155.869330695813,585.2317549958734,ATK,0.11999999731779099
70,5,8351.578546385135,164.84939508790285,618.9480025544672,ATK,0.18000000715255737
71,5,8422.716638563521,166.2535590380403,624.2201533263633,ATK,0.18000000715255737
72,5,8492.997300616262,167.6407985467804,629.4287586648588,ATK,0.18000000715255737
73,5,8564.135392794647,169.04496249691783,634.700909436755,ATK,0.18000000715255737
74,5,8635.273076283745,170.44911838011467,639.9730299200746,ATK,0.18000000715255737
75,5,8705.554147025774,171.83636595579537,645.1816655471466,ATK,0.18000000715255737
76,5,8776.691830514872,173.2405218389922,650.4537860304663,ATK,0.18000000715255737
77,5,8846.9729012569,174.6277694146729,655.6624216575383,ATK,0.18000000715255737
78,5,8918.110584745998,176.03192529786975,660.934542140858,ATK,0.18000000715255737
79,5,8988.391655488027,177.41917287355045,666.14317776793,ATK,0.18000000715255737
80,5,9059.529338977125,178.8233287567473,671.4152982512496,ATK,0.18000000715255737
80,6,9514.46903624275,187.8033969635344,705.1315610686324,ATK,0.23999999463558197
81,6,9585.607128421136,189.20756091367184,710.4037118405286,ATK,0.23999999463558197
82,6,9655.888199163164,190.59480848935254,715.6123474676006,ATK,0.23999999463558197
83,6,9727.025882652262,191.99896437254938,720.8844679509202,ATK,0.23999999463558197
84,6,9797.30695339429,193.38621194823008,726.0931035779922,ATK,0.23999999463558197
