level,ascension,hp,atk,def,ascension_stat,ascension_value
1,0,800.788818359375,24.20599937438965,47.86399841308594,pyro_dmg,0
2,0,867.2542459890828,26.215095983554875,51.836707633865444,pyro_dmg,0
3,0,933.7197690802568,28.22419547830009,55.8094225604782,pyro_dmg,0
4,0,1000.9860229492188,30.25749921798706,59.82999801635742,pyro_dmg,0
5,0,1067.4514505789266,32.26659582715229,63.80270723713693,pyro_dmg,0
6,0,1134.7177999093547,34.299902452419246,67.8232883988494,pyro_dmg,0
7,0,1201.1832275390625,36.30899906158447,71.7959976196289,pyro_dmg,0
8,0,1268.4494814080244,38.342302801271444,75.81657307550813,pyro_dmg,0
9,0,1335.7157352769864,40.375606540958415,79.83714853138736,pyro_dmg,0
10,0,1402.1812583681603,42.38470603570363,83.80986345800011,pyro_dmg,0
11,0,1469.4475122371223,44.4180097753906,87.83043891387933,pyro_dmg,0
12,0,1536.7137661060842,46.45131351507757,91.85101436975856,pyro_dmg,0
13,0,1603.9800199750462,48.484617254764544,95.87158982563778,pyro_dmg,0
14,0,1672.0471000832622,50.54212812497326,99.94003151661673,pyro_dmg,0
15,0,1739.313258490758,52.57542897908024,103.9606012666627,pyro_dmg,0
16,0,1806.579607821186,54.6087356043472,107.98118242837518,pyro_dmg,0
17,0,1874.646687929402,56.66624647455592,112.04962411935412,pyro_dmg,0
18,0,1941.912846336898,58.6995473286629,116.0701938694001,pyro_dmg,0
19,0,2009.979926445114,60.75705819887162,120.13863556037904,pyro_dmg,0
20,0,2077.246275775542,62.79036482413858,124.15921672209151,pyro_dmg,0
20,1,2763.850279681792,83.54330404838174,165.19921763761886,pyro_dmg,0
21,1,2831.917168867076,85.60080914743048,169.2676479169313,pyro_dmg,0
22,1,2899.984248975292,87.6583200176392,173.33608960791025,pyro_dmg,0
23,1,2968.051329083508,89.71583088784791,177.4045312988892,pyro_dmg,0
24,1,3036.118409191724,91.77334175805663,181.47297298986814,pyro_dmg,0
25,1,3104.18548929994,93.83085262826535,185.54141468084708,pyro_dmg,0
26,1,3173.053300185944,95.91256774341582,189.6577169010925,pyro_dmg,0
27,1,3241.12038029416,97.97007861362454,193.72615859207144,pyro_dmg,0
28,1,3309.187460402376,100.02758948383325,197.79460028305039,pyro_dmg,0
29,1,3378.05527128838,102.10930459898373,201.9109025032958,pyro_dmg,0
30,1,3446.122351396596,104.16681546919244,205.97934419427474,pyro_dmg,0
31,1,3514.9901622826,106.24853058434292,210.09564641452016,pyro_dmg,0
32,1,3583.857973168604,108.33024569949339,214.21194863476558,pyro_dmg,0
33,1,3652.725784054608,110.41196081464386,218.328250855011,pyro_dmg,0
34,1,3720.792864162824,112.46947168485258,222.39669254598994,pyro_dmg,0
35,1,3789.660675048828,114.55118680000305,226.51299476623535,pyro_dmg,0
36,1,3859.32921671262,116.65710616009528,230.67715751574724,pyro_dmg,0
37,1,3928.197027598624,118.73882127524575,234.79345973599266,pyro_dmg,0
38,1,3997.064838484628,120.82053639039623,238.90976195623807,pyro_dmg,0
39,1,4065.932649370632,122.9022515055467,243.0260641764835,pyro_dmg,0
40,1,4135.601572880289,125.00818240795888,247.19024974932836,pyro_dmg,0
40,2,4623.451792606851,139.75369441662588,276.3502457820432,pyro_dmg,0.07199999690055847
41,2,4692.319603492855,141.83540953177635,280.4665480022886,pyro_dmg,0.07199999690055847
42,2,4761.988145156647,143.94132889186858,284.6307107518005,pyro_dmg,0.07199999690055847
43,2,4831.656686820439,146.0472482519608,288.7948735013124,pyro_dmg,0.07199999690055847
44,2,4900.524497706443,148.12896336711128,292.9111757215578,pyro_dmg,0.07199999690055847
45,2,4970.193039370235,150.2348827272035,297.0753384710697,pyro_dmg,0.07199999690055847
46,2,5039.8619628798915,152.3408136296157,301.23952404391457,pyro_dmg,0.07199999690055847
47,2,5109.5305045436835,154.44673298970793,305.40368679342646,pyro_dmg,0.07199999690055847
48,2,5179.1990462074755,156.55265234980016,309.56784954293835,pyro_dmg,0.07199999690055847
49,2,5249.66870049492,158.6827874971541,313.7798956450497,pyro_dmg,0.07199999690055847
50,2,5319.337242158712,160.78870685724632,317.9440583945616,pyro_dmg,0.07199999690055847
50,3,5969.804161104024,180.44938572077172,356.8240632773741,pyro_dmg,0.14399999380111694
51,3,6039.472702767816,182.55530508086395,360.98822602688597,pyro_dmg,0.14399999380111694
52,3,6109.941975209396,184.68542868589793,365.20024930566433,pyro_dmg,0.14399999380111694
53,3,6179.610898719053,186.79135958831012,369.3644348785092,pyro_dmg,0.14399999380111694
54,3,6250.080171160633,188.9214831933441,373.57645815728756,pyro_dmg,0.14399999380111694
55,3,6320.549443602213,191.0516067983781,377.7884814360659,pyro_dmg,0.14399999380111694
56,3,6391.019097889657,193.18174194573203,382.00052753817727,pyro_dmg,0.14399999380111694
57,3,6461.488370331237,195.31186555076602,386.2125508169556,pyro_dmg,0.14399999380111694
58,3,6531.957642772817,197.4419891558,390.424574095734,pyro_dmg,0.14399999380111694
59,3,6602.4272970602615,199.57212430315394,394.63662019784533,pyro_dmg,0.14399999380111694
60,3,6672.896569501841,201.70224790818793,398.8486434766237,pyro_dmg,0.14399999380111694
60,4,7160.746667158091,216.4477580095063,428.00864713873307,pyro_dmg,0.14399999380111694
