level,ascension,base_hp,base_atk,base_def,ascension_stat,ascension_value
1,0,911.791015625,18.876480102539062,56.080501556396484,em,0
2,0,987.4696194878779,20.443226906932978,60.73518008359042,em,0
3,0,1062.236498421058,21.991098599377437,65.33378217390054,em,0
4,0,1137.9152109778952,23.557847654023135,69.98846738641123,em,0
5,0,1212.6820899110753,25.105719346467595,74.58706947672135,em,0
6,0,1288.3606937739532,26.67246615086151,79.24174800391529,em,0
7,0,1363.1275727071334,28.22033784330597,83.84035009422541,em,0
8,0,1438.8061765700113,29.787084647699885,88.49502862141935,em,0
9,0,1514.4848891268484,31.353833702345582,93.14971383393004,em,0
10,0,1589.2517680600286,32.90170539479004,97.74831592424016,em,0
11,0,1664.9303719229065,34.46845219918396,102.4029944514341,em,0
12,0,1739.6972508560866,36.01632389162842,107.00159654174422,em,0
13,0,1815.3759634129237,37.583072946274115,111.6562817542549,em,0
14,0,1890.1427336521447,39.13094238846679,116.25487715924828,em,0
15,0,1965.8213375150226,40.69768919286071,120.90955568644222,em,0
16,0,2041.500158765819,42.26444049775819,125.56424758426965,em,0
17,0,2116.267037698999,43.81231219020265,130.16284967457977,em,0
18,0,2191.945641561877,45.37905899459656,134.8175282017737,em,0
19,0,2266.712520495057,46.92693068704102,139.41613029208384,em,0
20,0,2342.391124357935,48.49367749143494,144.07080881927777,em,0
20,1,3023.54566537356,62.59570538450134,185.96580927704144,em,0
21,1,3098.31254430674,64.1435770769458,190.56441136735157,em,0
22,1,3173.991148169618,65.71032388133972,195.2190898945455,em,0
23,1,3249.669752032496,67.27707068573363,199.87376842173944,em,0
24,1,3324.436630965676,68.8249423781781,204.47237051204957,em,0
25,1,3400.1154522164725,70.39169368307557,209.127062409877,em,0
26,1,3474.882113761734,71.93956087501647,213.72565112955363,em,0
27,1,3550.5609350125305,73.50631217991395,218.38034302738106,em,0
28,1,3625.3278139457107,75.05418387235841,222.97894511769118,em,0
29,1,3701.0064178085886,76.62093067675232,227.63362364488512,em,0
30,1,3775.7732967417687,78.16880236919678,232.23222573519524,em,0
31,1,3851.4519006046467,79.7355491735907,236.88690426238918,em,0
32,1,3927.1305044675246,81.30229597798461,241.54158278958312,em,0
33,1,4001.8973834007047,82.85016767042907,246.14018487989324,em,0
34,1,4077.5759872635826,84.41691447482299,250.79486340708718,em,0
35,1,4152.342866196763,85.96478616726745,255.3934654973973,em,0
36,1,4228.021687447559,87.53153747216493,260.04815739522473,em,0
37,1,4302.788348992821,89.07940466410582,264.64674611490136,em,0
38,1,4378.466952855699,90.64615146849974,269.3014246420953,em,0
39,1,4454.145774106495,92.21290277339722,273.95611653992273,em,0
40,1,4528.912435651757,93.76076996533811,278.55470525959936,em,0
40,2,5012.890707136132,103.78063118665159,308.3222032759568,em,24
41,2,5088.569528386928,105.34738249154907,312.9768951737842,em,24
42,2,5163.336624708027,106.8952586844971,317.57551063472783,em,24
43,2,5239.015011182986,108.46200098838744,322.2301757912883,em,24
44,2,5313.782107504085,110.00987718133547,326.8287912522319,em,24
45,2,5389.460493979044,111.57661948522582,331.48345640879234,em,24
46,2,5465.139315229841,113.1433707901233,336.13814830661977,em,24
47,2,5539.905976775102,114.6912379820642,340.7367370262964,em,24
48,2,5615.584798025899,116.25798928696167,345.39142892412383,em,24
49,2,5690.35145957116,117.80585647890257,349.99001764380046,em,24
50,2,5766.030280821957,119.37260778380005,354.6447095416279,em,24
50,3,6411.334602111019,132.73242338133423,394.33471198303414,em,48
51,3,6486.101263656281,134.28029057327512,398.93330070271077,em,48
52,3,6561.780084907077,135.8470418781726,403.5879926005382,em,48
53,3,6637.458906157874,137.41379318307008,408.24268449836563,em,48
54,3,6712.225567703135,138.96166037501098,412.84127321804226,em,48
55,3,6787.904388953932,140.52841167990846,417.4959651158697,em,48
56,3,6862.671050499193,142.07627887184935,422.0945538355463,em,48
57,3,6938.34987174999,143.64303017674683,426.74924573337375,em,48
58,3,7013.116533295251,145.19089736868773,431.3478344530504,em,48
59,3,7088.795354546048,146.7576486735852,436.0025263508778,em,48
60,3,7164.474175796844,148.3243999784827,440.65721824870525,em,48
