level,ascension,base_hp,base_atk,base_def,ascension_stat,ascension_value
1,0,939.1447143554688,20.835359573364258,66.9532470703125,atk%,0
2,0,1017.0936736999574,22.564693265484948,72.5103628737561,atk%,0
3,0,1094.1035563985934,24.27319310816347,78.00053028285038,atk%,0
4,0,1172.0526276978562,26.00252928405257,83.55765406774299,atk%,0
5,0,1249.0625103964921,27.71102912673109,89.04782147683727,atk%,0
6,0,1327.0114697409808,29.44036281885178,94.60493728028086,atk%,0
7,0,1404.0213524396167,31.148862661530302,100.09510468937515,atk%,0
8,0,1481.9703117841054,32.87819635365099,105.65222049281874,atk%,0
9,0,1559.9193830833683,34.607532529540094,111.20934427771135,atk%,0
10,0,1636.9292657820042,36.316032372218615,116.69951168680564,atk%,0
11,0,1714.878225126493,38.045366064339305,122.25662749024923,atk%,0
12,0,1791.8881078251288,39.753865907017826,127.74679489934351,atk%,0
13,0,1869.8371791243917,41.48320208290693,133.30391868423612,atk%,0
14,0,1946.8469498682534,43.191699441817036,138.7940781118814,atk%,0
15,0,2024.7959092127421,44.921033133937726,144.35119391532498,atk%,0
16,0,2102.745092466779,46.65037179359524,149.9083256816666,atk%,0
17,0,2179.754975165415,48.35887163627376,155.3984930907609,atk%,0
18,0,2257.703934509904,50.08820532839445,160.9556088942045,atk%,0
19,0,2334.7138172085397,51.79670517107297,166.44577630329877,atk%,0
20,0,2412.6627765530284,53.52603886319366,172.00289210674237,atk%,0
20,1,3114.2519489163096,69.09148476315704,222.02039393779705,atk%,0
21,1,3191.2618316149455,70.79998460583556,227.51056134689134,atk%,0
22,1,3269.2107909594342,72.52931829795625,233.06767715033493,atk%,0
23,1,3347.159750303923,74.25865199007694,238.62479295377852,atk%,0
24,1,3424.169633002559,75.96715183275546,244.1149603628728,atk%,0
25,1,3502.118816256596,77.69649049241298,249.67209212921443,atk%,0
26,1,3579.1284750456834,79.40498536755467,255.16224357541068,atk%,0
27,1,3657.0776582997205,81.13432402721219,260.7193753417523,atk%,0
28,1,3734.0875409983564,82.84282386989071,266.2095427508466,atk%,0
29,1,3812.036500342845,84.5721575620114,271.7666585542902,atk%,0
30,1,3889.046383041481,86.28065740468992,277.2568259633845,atk%,0
31,1,3966.9953423859697,88.00999109681061,282.81394176682807,atk%,0
32,1,4044.9443017304584,89.7393247889313,288.37105757027166,atk%,0
33,1,4121.954184429094,91.44782463160982,293.86122497936594,atk%,0
34,1,4199.903143773583,93.17715832373051,299.41834078280954,atk%,0
35,1,4276.913026472219,94.88565816640903,304.9085081919038,atk%,0
36,1,4354.862209726256,96.61499682606654,310.46563995824545,atk%,0
37,1,4431.8718685153435,98.32349170120824,315.9557914044417,atk%,0
38,1,4509.820827859832,100.05282539332893,321.5129072078853,atk%,0
39,1,4587.770011113869,101.78216405298645,327.0700389742269,atk%,0
40,1,4664.779669902957,103.49065892812814,332.56019042042317,atk%,0
40,2,5163.277289531863,114.55031793233957,368.0989401152474,atk%,0.05999999865889549
41,2,5241.2264727859,116.27965659199708,373.656071881589,atk%,0.05999999865889549
42,2,5318.236579394084,117.98816140221243,379.14625525358133,atk%,0.05999999865889549
43,2,5396.185314829025,119.71749012679629,384.7033550941269,atk%,0.05999999865889549
44,2,5473.195421437209,121.42599493701164,390.1935384661192,atk%,0.05999999865889549
45,2,5551.144156872149,123.1553236615955,395.75063830666477,atk%,0.05999999865889549
46,2,5629.093340126186,124.88466232125302,401.3077700730064,atk%,0.05999999865889549
47,2,5706.102998915274,126.59315719639471,406.79792151920265,atk%,0.05999999865889549
48,2,5784.052182169311,128.32249585605223,412.3550532855443,atk%,0.05999999865889549
49,2,5861.0618409583985,130.03099073119392,417.8452047317405,atk%,0.05999999865889549
50,2,5939.011024212436,131.76032939085144,423.40233649808215,atk%,0.05999999865889549
50,3,6603.674476360873,146.5065433038153,470.7873386343126,atk%,0.11999999731779099
51,3,6680.684135149961,148.215038178957,476.27749008050887,atk%,0.11999999731779099
52,3,6758.633318403998,149.94437683861452,481.8346218468505,atk%,0.11999999731779099
53,3,6836.582501658035,151.67371549827203,487.3917536131921,atk%,0.11999999731779099
54,3,6913.592160447122,153.38221037341373,492.8819050593884,atk%,0.11999999731779099
55,3,6991.541343701159,155.11154903307124,498.43903682573,atk%,0.11999999731779099
56,3,7068.551002490247,156.82004390821294,503.92918827192625,atk%,0.11999999731779099
57,3,7146.500185744284,158.54938256787045,509.4863200382679,atk%,0.11999999731779099
58,3,7223.5098445333715,160.25787744301215,514.9764714844641,atk%,0.11999999731779099
