level,ascension,base_hp,base_atk,base_def,ascension_stat,ascension_value
1,0,784.1402587890625,20.12303924560547,49.2135009765625,pyro_dmg,0
2,0,849.223856895318,21.793250389922832,53.29821883546538,pyro_dmg,0
3,0,913.5233715766808,23.443339953497343,57.333726760349236,pyro_dmg,0
4,0,978.6070631597395,25.11355349666792,61.4184504859586,pyro_dmg,0
5,0,1042.9065778411023,26.76364306024243,65.45395841084246,pyro_dmg,0
6,0,1107.9901759473578,28.433854204559793,69.53867626974534,pyro_dmg,0
7,0,1172.2896906287206,30.083943768134304,73.5741841946292,pyro_dmg,0
8,0,1237.373288734976,31.754154912451668,77.65890205353207,pyro_dmg,0
9,0,1302.4569803180348,33.42436845562224,81.74362577914144,pyro_dmg,0
10,0,1366.7564949993975,35.074458019196754,85.7791337040253,pyro_dmg,0
11,0,1431.840093105653,36.74466916351412,89.86385156292818,pyro_dmg,0
12,0,1496.1396077870158,38.39475872708863,93.89935948781203,pyro_dmg,0
13,0,1561.2232993700745,40.064972270259204,97.9840832134214,pyro_dmg,0
14,0,1625.5227205746341,41.7150594349805,102.01958527159877,pyro_dmg,0
15,0,1690.6063186808897,43.38527057929787,106.10430313050165,pyro_dmg,0
16,0,1755.6901037407515,45.055486521321654,110.1890327228175,pyro_dmg,0
17,0,1819.9896184221143,46.705576084896165,114.22454064770136,pyro_dmg,0
18,0,1885.0732165283698,48.37578722921353,118.30925850660424,pyro_dmg,0
19,0,1949.3727312097326,50.02587679278804,122.3447664314881,pyro_dmg,0
20,0,2014.4563293159881,51.6960879371054,126.42948429039097,pyro_dmg,0
20,1,2600.249237030832,66.72938166116546,163.1944836800394,pyro_dmg,0
21,1,2664.5487517121946,68.37947122473997,167.22999160492327,pyro_dmg,0
22,1,2729.63234981845,70.04968236905734,171.31470946382615,pyro_dmg,0
23,1,2794.7159479247057,71.7198935133747,175.39942732272903,pyro_dmg,0
24,1,2859.0154626060685,73.36998307694921,179.43493524761288,pyro_dmg,0
25,1,2924.0992476659303,75.040199018973,183.51966483992874,pyro_dmg,0
26,1,2988.3985753936868,76.69028378484109,187.55516103139962,pyro_dmg,0
27,1,3053.4823604535486,78.36049972686487,191.63989062371547,pyro_dmg,0
28,1,3117.7818751349114,80.01058929043938,195.67539854859933,pyro_dmg,0
29,1,3182.865473241167,81.68080043475675,199.7601164075022,pyro_dmg,0
30,1,3247.1649879225297,83.33088999833126,203.79562433238607,pyro_dmg,0
31,1,3312.248586028785,85.00110114264862,207.88034219128895,pyro_dmg,0
32,1,3377.3321841350407,86.67131228696599,211.96506005019182,pyro_dmg,0
33,1,3441.6316988164035,88.3214018505405,216.00056797507568,pyro_dmg,0
34,1,3506.715296922659,89.99161299485786,220.08528583397856,pyro_dmg,0
35,1,3571.014811604022,91.64170255843237,224.12079375886242,pyro_dmg,0
36,1,3636.0985966638837,93.31191850045616,228.20552335117827,pyro_dmg,0
37,1,3700.39792439164,94.96200326632425,232.24101954264916,pyro_dmg,0
38,1,3765.4815224978956,96.63221441064161,236.32573740155203,pyro_dmg,0
39,1,3830.5653075577575,98.3024303526654,240.41046699386789,pyro_dmg,0
40,1,3894.864635285514,99.95251511853348,244.44596318533877,pyro_dmg,0
40,2,4311.085948762076,110.63406705182206,270.5684645586298,pyro_dmg,0.05999999865889549
41,2,4376.169733821938,112.30428299384585,274.65319415094564,pyro_dmg,0.05999999865889549
42,2,4440.469435456907,113.95437735512678,278.6887138092425,pyro_dmg,0.05999999865889549
43,2,4505.552846609557,115.62458370173772,282.7734199347324,pyro_dmg,0.05999999865889549
44,2,4569.852548244526,117.27467806301865,286.8089395930292,pyro_dmg,0.05999999865889549
45,2,4634.935959397175,118.9448844096296,290.8936457185191,pyro_dmg,0.05999999865889549
46,2,4700.019744457037,120.61510035165338,294.97837531083496,pyro_dmg,0.05999999865889549
47,2,4764.319072184793,122.26518511752147,299.01387150230585,pyro_dmg,0.05999999865889549
48,2,4829.402857244655,123.93540105954526,303.0986010946217,pyro_dmg,0.05999999865889549
49,2,4893.7021849724115,125.58548582541334,307.1340972860926,pyro_dmg,0.05999999865889549
50,2,4958.785970032273,127.25570176743713,311.21882687840844,pyro_dmg,0.05999999865889549
50,3,5513.747700989305,141.49776910447326,346.04882489476586,pyro_dmg,0.11999999731779099
51,3,5578.047028717061,143.14785387034135,350.08432108623674,pyro_dmg,0.11999999731779099
52,3,5643.130813776923,144.81806981236514,354.1690506785526,pyro_dmg,0.11999999731779099
53,3,5708.214598836785,146.48828575438893,358.25378027086845,pyro_dmg,0.11999999731779099
54,3,5772.513926564541,148.138370520257,362.28927646233933,pyro_dmg,0.11999999731779099
55,3,5837.597711624403,149.8085864622808,366.3740060546552,pyro_dmg,0.11999999731779099
56,3,5901.8970393521595,151.4586712281489,370.40950224612607,pyro_dmg,0.11999999731779099
57,3,5966.980824412021,153.12888717017267,374.4942318384419,pyro_dmg,0.11999999731779099
58,3,6031.280152139778,154.77897193604076,378.5297280299128,pyro_dmg,0.11999999731779099
59,3,6096.36393719964,156.44918787806455,382.61445762222866,pyro_dmg,0.11999999731779099
60,3,6161.4477222595015,158.11940382008834,386.6991872145445,pyro_dmg,0.11999999731779099
60,4,6577.669035736064,168.80095670705123,412.82168477313826,pyro_dmg,0.11999999731779099
61,4,6641.96836346382,170.45104147291931,416.85718096460914,pyro_dmg,0.11999999731779099
62,4,6707.052148523682,172.1212574149431,420.941910556925,pyro_dmg,0.11999999731779099
63,4,6771.351476251439,173.7713421808112,424.9774067483959,pyro_dmg,0.11999999731779099
64,4,6836.435261311301,175.44155812283498,429.06213634071173,pyro_dmg,0.11999999731779099
65,4,6900.734589039057,177.09164288870306,433.0976325321826,pyro_dmg,0.11999999731779099
66,4,6965.818374098919,178.76185883072685,437.18236212449847,pyro_dmg,0.11999999731779099
67,4,7030.901785251568,180.4320651773378,441.26706824998837,pyro_dmg,0.11999999731779099
68,4,7095.201486886537,182.08215953861873,445.3025879082852,pyro_dmg,0.11999999731779099
69,4,7160.284898039186,183.75236588522966,449.3872940337751,pyro_dmg,0.11999999731779099
70,4,7224.5845996741555,185.4024602465106,453.42281369207194,pyro_dmg,0.11999999731779099
70,5,7640.8057910804055,196.08400931877622,479.5453112506657,pyro_dmg,0.18000000715255737
71,5,7705.889576140267,197.7542252608,483.63004084298154,pyro_dmg,0.18000000715255737
72,5,7770.188903868024,199.4043100266681,487.6655370344524,pyro_dmg,0.18000000715255737
73,5,7835.272688927886,201.0745259686919,491.7502666267683,pyro_dmg,0.18000000715255737
74,5,7900.356100080535,202.74473231530283,495.8349727522582,pyro_dmg,0.18000000715255737
75,5,7964.655801715504,204.39482667658376,499.870492410555,pyro_dmg,0.18000000715255737
76,5,8029.739212868153,206.0650330231947,503.9551985360449,pyro_dmg,0.18000000715255737
77,5,8094.038914503122,207.71512738447564,507.99071819434175,pyro_dmg,0.18000000715255737
78,5,8159.122325655771,209.38533373108658,512.0754243198317,pyro_dmg,0.18000000715255737
79,5,8223.42202729074,211.0354280923675,516.1109439781285,pyro_dmg,0.18000000715255737
80,5,8288.50543844339,212.70563443897845,520.1956501036184,pyro_dmg,0.18000000715255737
80,6,8704.726873990265,223.38718351124407,546.3181629210012,pyro_dmg,0.23999999463558197
81,6,8769.810659050127,225.05739945326786,550.402892513317,pyro_dmg,0.23999999463558197
82,6,8834.110360685096,226.7074938145488,554.4384121716139,pyro_dmg,0.23999999463558197
83,6,8899.193771837745,228.37770016115974,558.5231182971038,pyro_dmg,0.23999999463558197
84,6,8963.493473472714,230.02779452244067,562.5586379554006,pyro_dmg,0.23999999463558197
85,6,9028.576884625363,231.6980008690516,566.6433440808905,pyro_dmg,0.23999999463558197
