level,ascension,base_atk,substat,substat_value
1,0,45.9364013671875,er,0.11999999731779099
2,0,49.88693030766444,er,0.11999999731779099
3,0,53.79152617621003,er,0.11999999731779099
4,0,57.74205511668697,er,0.11999999731779099
5,0,61.692589533209684,er,0.13943998978793637
6,0,65.64311847368663,er,0.13943998978793637
7,0,69.6395859621407,er,0.13943998978793637
8,0,73.59011490261764,er,0.13943998978793637
9,0,77.58658239107172,er,0.13943998978793637
10,0,81.53711133154866,er,0.16356000057846298
11,0,85.53357882000273,er,0.16356000057846298
12,0,89.5300463084568,er,0.16356000057846298
13,0,93.52651379691088,er,0.16356000057846298
14,0,97.56891983334208,er,0.16356000057846298
15,0,101.56538184575038,er,0.18780000266879782
16,0,105.60778788218158,er,0.18780000266879782
17,0,109.60424989458988,er,0.18780000266879782
18,0,113.64665593102109,er,0.18780000266879782
19,0,117.68906196745229,er,0.18780000266879782
20,0,121.73146800388349,er,0.21203999045401822
20,1,152.83146838535322,er,0.21203999045401822
21,1,156.87386346969288,er,0.21203999045401822
22,1,160.96220257805544,er,0.21203999045401822
23,1,165.00460861448664,er,0.21203999045401822
24,1,169.0929477228492,er,0.21203999045401822
25,1,173.18128683121176,er,0.23627999254435306
26,1,177.26962593957433,er,0.23627999254435306
27,1,181.3579650479369,er,0.23627999254435306
28,1,185.44630415629945,er,0.23627999254435306
29,1,189.5805872886849,er,0.23627999254435306
30,1,193.66892639704747,er,0.2605199946346879
31,1,197.8031985773414,er,0.2605199946346879
32,1,201.93748170972685,er,0.2605199946346879
33,1,206.07175389002077,er,0.2605199946346879
34,1,210.2060260703147,er,0.2605199946346879
35,1,214.34030920270015,er,0.2847599824199083
36,1,218.52051445492543,er,0.2847599824199083
37,1,222.6547975873109,er,0.2847599824199083
38,1,226.83501379162772,er,0.2847599824199083
39,1,231.01522999594454,er,0.2847599824199083
40,1,235.19542429607827,er,0.30899999881535756
40,2,266.295424677548,er,0.30899999881535756
41,2,270.4756408818648,er,0.30899999881535756
42,2,274.65585708618164,er,0.30899999881535756
43,2,278.8820063624298,er,0.30899999881535756
44,2,283.06222256674664,er,0.30899999881535756
45,2,287.2883718429948,er,0.33323998660057796
46,2,291.514521119243,er,0.33323998660057796
47,2,295.7406703954912,er,0.33323998660057796
48,2,299.96681967173936,er,0.33323998660057796
49,2,304.19296894798754,er,0.33323998660057796
50,2,308.4191182242357,er,0.3574800029960272
50,3,339.61911898717517,er,0.3574800029960272
51,3,343.8912013353547,er,0.3574800029960272
52,3,348.16328368353425,er,0.3574800029960272
53,3,352.3894329597824,er,0.3574800029960272
54,3,356.66151530796196,er,0.3574800029960272
55,3,360.97953072807286,er,0.38171999078124763
56,3,365.2516349804355,er,0.38171999078124763
57,3,369.523717328615,er,0.38171999078124763
58,3,373.8417327487259,er,0.38171999078124763
59,3,378.11381509690545,er,0.38171999078124763
60,3,382.43183051701635,er,0.40595997856646804
60,4,413.53182899113744,er,0.40595997856646804
61,4,417.8498663154314,er,0.40595997856646804
62,4,422.1678817355423,er,0.40595997856646804
63,4,426.5318302275846,er,0.40595997856646804
64,4,430.84986755187856,er,0.40595997856646804
65,4,435.16788297198946,er,0.4301999949619173
66,4,439.5318314640317,er,0.4301999949619173
67,4,443.89580186025705,er,0.4301999949619173
68,4,448.2597503522993,er,0.4301999949619173
69,4,452.62372074852465,er,0.4301999949619173
70,4,456.9876692405669,er,0.4543199914473295
70,5,488.0876753440825,er,0.4543199914473295
71,5,492.4975788122392,er,0.4543199914473295
72,5,496.8615273042815,er,0.4543199914473295
73,5,501.2714307724382,er,0.4543199914473295
74,5,505.6813123364118,er,0.4543199914473295
75,5,510.0912158045685,er,0.4785599792325499
76,5,514.5011192727252,er,0.4785599792325499
77,5,518.9110008366988,er,0.4785599792325499
78,5,523.3209043048555,er,0.4785599792325499
79,5,527.7767408449436,er,0.4785599792325499
80,5,532.2325773850316,er,0.5027999956279992
80,6,563.3325682297582,er,0.5027999956279992
81,6,567.7424497937318,er,0.5027999956279992
82,6,572.1982863338199,er,0.5027999956279992
83,6,576.6541228739079,er,0.5027999956279992
84,6,581.1558705817442,er,0.5027999956279992
85,6,585.6117071218323,er,0.5270400120234484
86,6,590.1134548296686,er,0.5270400120234484
87,6,594.5692913697567,er,0.5270400120234484
88,6,599.0710828859592,er,0.5270400120234484
89,6,603.5728305937955,er,0.5270400120234484
90,6,608.074622109998,er,0.55127997119844
