level,ascension,base_atk,substat,substat_value
1,0,32.93000030517578,,0
2,0,35.43267951185226,,0
3,0,37.93535871852873,,0
4,0,40.43804185076715,,0
5,0,42.90778951831817,,0
6,0,45.410468724994644,,0
7,0,47.880220318107604,,0
8,0,50.349971911220564,,0
9,0,52.81971957877158,,0
10,0,55.28947117188454,,0
11,0,57.75921883943556,,0
12,0,60.196038893423065,,0
13,0,62.665790486536025,,0
14,0,65.10261054052353,,0
15,0,67.53943452007297,,0
16,0,69.97625064849854,,0
17,0,72.4130667769241,,0
18,0,74.84989075647354,,0
19,0,77.2867068848991,,0
20,0,79.69060325088503,,0
20,1,91.39060306015017,,0
21,1,93.79449157501222,,0
22,1,96.23130770343778,,0
23,1,98.63520406942371,,0
24,1,101.03909258428575,,0
25,1,103.4429810991478,,0
26,1,105.84686961400985,,0
27,1,108.21783051530838,,0
28,1,110.62171903017042,,0
29,1,112.99267993146896,,0
30,1,115.36364083276749,,0
31,1,117.76752934762953,,0
32,1,120.13849024892806,,0
33,1,122.5094511502266,,0
34,1,124.88041205152513,,0
35,1,127.21843748813626,,0
36,1,129.5893983894348,,0
37,1,131.96035929073332,,0
38,1,134.29839257846834,,0
39,1,136.63641801507947,,0
40,1,139.007378916378,,0
40,2,150.6073783441734,,0
41,2,152.94541163190843,,0
42,2,155.28343706851956,,0
43,2,157.62147035625458,,0
44,2,159.9595036439896,,0
45,2,162.2975369317246,,0
46,2,164.60262690364834,,0
47,2,166.94066019138336,,0
48,2,169.27869347911837,,0
49,2,171.5837834510421,,0
50,2,173.92181673877712,,0
50,3,185.62181750171658,,0
51,3,187.92692317588808,,0
52,3,190.23202885005958,,0
53,3,192.5371188219833,,0
54,3,194.87515210971833,,0
55,3,197.18025778388983,,0
56,3,199.48534775581356,,0
57,3,201.79045342998506,,0
58,3,204.06261578834528,,0
59,3,206.36772146251678,,0
60,3,208.67282713668828,,0
60,4,220.37282789962774,,0
61,4,222.67791787155147,,0
62,4,224.95009593215946,,0
63,4,227.2551859040832,,0
64,4,229.52736396469118,,0
65,4,231.83246963886268,,0
66,4,234.1046319972229,,0
67,4,236.4097376713944,,0
68,4,238.68190002975462,,0
69,4,240.9540780903626,,0
70,4,243.22624044872282,,0
70,4,243.22624044872282,,0
