level,ascension,base_atk,substat,substat_value
1,0,38.74129867553711,em,30.600000381469727
2,0,41.68563641426681,em,30.600000381469727
3,0,44.62997415299651,em,30.600000381469727
4,0,47.5743165100489,em,30.600000381469727
5,0,50.47991113972057,em,35.55719863395689
6,0,53.42424887845027,em,35.55719863395689
7,0,56.32984812644463,em,35.55719863395689
8,0,59.23544737443899,em,35.55719863395689
9,0,62.14104200411066,em,35.55719863395689
10,0,65.04664125210502,em,41.70780159969331
11,0,67.95223588177669,em,41.70780159969331
12,0,70.81909202071301,em,41.70780159969331
13,0,73.72469126870737,em,41.70780159969331
14,0,76.5915474076437,em,41.70780159969331
15,0,79.45840816490272,em,47.88900234794619
16,0,82.32525968551636,em,47.88900234794619
17,0,85.19211120613,em,47.88900234794619
18,0,88.05897196338901,em,47.88900234794619
19,0,90.92582348400265,em,47.88900234794619
20,0,93.75394575052633,em,54.07019944839476
20,1,113.25394575052633,em,54.07019944839476
21,1,116.08205878040462,em,54.07019944839476
22,1,118.94891030101826,em,54.07019944839476
23,1,121.77703256754194,em,54.07019944839476
24,1,124.60514559742023,em,54.07019944839476
25,1,127.43325862729853,em,60.25140019664764
26,1,130.26137165717682,em,60.25140019664764
27,1,133.05074619631978,em,60.25140019664764
28,1,135.87885922619807,em,60.25140019664764
29,1,138.66823376534103,em,60.25140019664764
30,1,141.45760830448398,em,66.43260094490051
31,1,144.28572133436228,em,66.43260094490051
32,1,147.07509587350523,em,66.43260094490051
33,1,149.8644704126482,em,66.43260094490051
34,1,152.65384495179114,em,66.43260094490051
35,1,155.40447176355337,em,72.61379804534909
36,1,158.19384630269633,em,72.61379804534909
37,1,160.98322084183928,em,72.61379804534909
38,1,163.7338568902469,em,72.61379804534909
39,1,166.48448370200913,em,72.61379804534909
40,1,169.27385824115208,em,78.79500244140627
40,2,188.673859767031,em,78.79500244140627
41,2,191.4244958154386,em,78.79500244140627
42,2,194.17512262720084,em,78.79500244140627
43,2,196.92575867560845,em,78.79500244140627
44,2,199.67639472401606,em,78.79500244140627
45,2,202.42703077242368,em,84.97619954185484
46,2,205.13890985680518,em,84.97619954185484
47,2,207.8895459052128,em,84.97619954185484
48,2,210.6401819536204,em,84.97619954185484
49,2,213.35206103800192,em,84.97619954185484
50,2,216.10269708640953,em,91.15740393791202
50,3,235.60269708640953,em,91.15740393791202
51,3,238.3145946440818,em,91.15740393791202
52,3,241.02649220175408,em,91.15740393791202
53,3,243.7383712861356,em,91.15740393791202
54,3,246.4890073345432,em,91.15740393791202
55,3,249.20090489221548,em,97.3386010383606
56,3,251.91278397659698,em,97.3386010383606
57,3,254.62468153426926,em,97.3386010383606
58,3,257.2978221279154,em,97.3386010383606
59,3,260.0097196855877,em,97.3386010383606
60,3,262.72161724325997,em,103.51979813880916
60,4,282.1216187691389,em,103.51979813880916
61,4,284.8334978535204,em,103.51979813880916
62,4,287.5066569204573,em,103.51979813880916
63,4,290.2185360048388,em,103.51979813880916
64,4,292.89169507177576,em,103.51979813880916
65,4,295.60359262944803,em,109.70100253486635
66,4,298.2767332230942,em,109.70100253486635
67,4,300.98863078076647,em,109.70100253486635
68,4,303.66177137441264,em,109.70100253486635
69,4,306.33493044134957,em,109.70100253486635
70,4,309.00807103499574,em,115.85160185279847
70,5,328.50807103499574,em,115.85160185279847
71,5,331.219968592668,em,115.85160185279847
72,5,333.8931091863142,em,115.85160185279847
73,5,336.5662682532511,em,115.85160185279847
74,5,339.2394088468973,em,115.85160185279847
75,5,341.9125679138342,em,122.03279895324704
76,5,344.5857085074804,em,122.03279895324704
77,5,347.2588675744173,em,122.03279895324704
78,5,349.9320081680635,em,122.03279895324704
79,5,352.6051672350004,em,122.03279895324704
80,5,355.2783078286466,em,128.21400334930422
80,6,374.67830172513095,em,128.21400334930422
81,6,377.31272230133254,em,128.21400334930422
82,6,379.9858628949787,em,128.21400334930422
83,6,382.6590034886249,em,128.21400334930422
84,6,385.3321625555618,em,128.21400334930422
85,6,388.005303149208,em,134.3952077453614
86,6,390.63972372540957,em,134.3952077453614
87,6,393.31286431905573,em,134.3952077453614
88,6,395.98602338599267,em,134.3952077453614
89,6,398.6204254889035,em,134.3952077453614
90,6,401.2935845558404,em,140.57639755020136
