level,ascension,base_atk,substat,substat_value
1,0,23.2450008392334,,0
2,0,25.01162032664297,,0
3,0,26.77823981405254,,0
4,0,28.544862072482147,,0
5,0,30.28823547281263,,0
6,0,32.0548549602222,,0
7,0,33.79823113157272,,0
8,0,35.54160730292324,,0
9,0,37.28498070325372,,0
10,0,39.02835687460424,,0
11,0,40.771730274934725,,0
12,0,42.49186035920616,,0
13,0,44.235236530556676,,0
14,0,45.95536661482811,,0
15,0,47.675499470119576,,0
16,0,49.39562678337097,,0
17,0,51.11575409662237,,0
18,0,52.835886951913835,,0
19,0,54.55601426516523,,0
20,0,56.25290380439765,,0
20,1,67.95290361366278,,0
21,1,69.64978761085513,,0
22,1,71.36991492410652,,0
23,1,73.06680446333894,,0
24,1,74.76368846053128,,0
25,1,76.46057245772363,,0
26,1,78.15745645491597,,0
27,1,79.83109713604927,,0
28,1,81.52798113324161,,0
29,1,83.2016218143749,,0
30,1,84.8752624955082,,0
31,1,86.57214649270054,,0
32,1,88.24578717383383,,0
33,1,89.91942785496713,,0
34,1,91.59306853610042,,0
35,1,93.24346035913459,,0
36,1,94.91710104026788,,0
37,1,96.59074172140117,,0
38,1,98.24113908647541,,0
39,1,99.89153090950958,,0
40,1,101.56517159064288,,0
40,2,113.16517101843829,,0
41,2,114.81556838351253,,0
42,2,116.4659602065467,,0
43,2,118.11635757162094,,0
44,2,119.76675493669518,,0
45,2,121.41715230176942,,0
46,2,123.04429526670447,,0
47,2,124.69469263177871,,0
48,2,126.34508999685295,,0
49,2,127.972232961788,,0
50,2,129.62263032686224,,0
50,3,141.3226310898017,,0
51,3,142.94978513881688,,0
52,3,144.57693918783207,,0
53,3,146.2040821527671,,0
54,3,147.85447951784136,,0
55,3,149.48163356685654,,0
56,3,151.1087765317916,,0
57,3,152.73593058080678,,0
58,3,154.33983022968278,,0
59,3,155.96698427869796,,0
60,3,157.59413832771315,,0
60,4,169.2941390906526,,0
61,4,170.92128205558765,,0
62,4,172.5251927885438,,0
63,4,174.15233575347884,,0
64,4,175.75624648643497,,0
65,4,177.38340053545016,,0
66,4,178.98730018432616,,0
67,4,180.61445423334135,,0
68,4,182.21835388221734,,0
69,4,183.82226461517348,,0
70,4,185.42616426404948,,0
70,4,185.42616426404948,,0
