level,ascension,base_atk,substat,substat_value
1,0,39.875099182128906,em,20.399999618530273
2,0,43.10498103701775,em,20.399999618530273
3,0,46.334862891906596,em,20.399999618530273
4,0,49.60462170934261,em,20.399999618530273
5,0,52.8345083177137,em,23.704798350524925
6,0,56.10426238166747,em,23.704798350524925
7,0,59.37402119910348,em,23.704798350524925
8,0,62.60390780747457,em,23.704798350524925
9,0,65.87366187142834,em,23.704798350524925
10,0,69.14342068886435,em,27.805200199890123
11,0,72.41317950630037,em,27.805200199890123
12,0,75.68293832373638,em,27.805200199890123
13,0,78.99256935023732,em,27.805200199890123
14,0,82.26232816767333,em,27.805200199890123
15,0,85.53208698510934,em,31.92600057029722
16,0,88.80184580254536,em,31.92600057029722
17,0,92.1114768290463,em,31.92600057029722
18,0,95.38123564648231,em,31.92600057029722
19,0,98.65099446391832,em,31.92600057029722
20,0,101.96062549041926,em,36.046798508834854
20,1,121.46062549041926,em,36.046798508834854
21,1,124.73038430785527,em,36.046798508834854
22,1,128.0400153343562,em,36.046798508834854
23,1,131.30977415179223,em,36.046798508834854
24,1,134.61941468525765,em,36.046798508834854
25,1,137.88917350269367,em,40.16759887924195
26,1,141.1988045291946,em,40.16759887924195
27,1,144.46856334663062,em,40.16759887924195
28,1,147.77819437313156,em,40.16759887924195
29,1,151.04795319056757,em,40.16759887924195
30,1,154.3575842170685,em,44.288399249649046
31,1,157.62734303450452,em,44.288399249649046
32,1,160.93697406100546,em,44.288399249649046
33,1,164.20673287844147,em,44.288399249649046
34,1,167.5163639049424,em,44.288399249649046
35,1,170.78612272237842,em,48.40919718818668
36,1,174.09576325584385,em,48.40919718818668
37,1,177.36552207327986,em,48.40919718818668
38,1,180.6751435928163,em,48.40919718818668
39,1,183.9449119172168,em,48.40919718818668
40,1,187.21466122768834,em,52.52999999046324
40,2,206.61466275356725,em,52.52999999046324
41,2,209.92430328703267,em,52.52999999046324
42,2,213.1940525975042,em,52.52999999046324
43,2,216.50369313096962,em,52.52999999046324
44,2,219.77344244144115,em,52.52999999046324
45,2,223.04321076584165,em,56.65079792900087
46,2,226.35285129930708,em,56.65079792900087
47,2,229.6226006097786,em,56.65079792900087
48,2,232.89234992025013,em,56.65079792900087
49,2,236.20199045371555,em,56.65079792900087
50,2,239.47175877811605,em,60.77160073127743
50,3,258.97175877811605,em,60.77160073127743
51,3,262.2415080885876,em,60.77160073127743
52,3,265.5112573990591,em,60.77160073127743
53,3,268.82089793252453,em,60.77160073127743
54,3,272.09066625692503,em,60.77160073127743
55,3,275.36041556739656,em,64.89239866981507
56,3,278.6301648778681,em,64.89239866981507
57,3,281.8999332022686,em,64.89239866981507
58,3,285.209573735734,em,64.89239866981507
59,3,288.47932304620554,em,64.89239866981507
60,3,291.74909137060604,em,69.0131966083527
60,4,311.14909289648494,em,69.0131966083527
61,4,314.41884220695647,em,69.0131966083527
62,4,317.688591517428,em,69.0131966083527
63,4,320.9583598418285,em,69.0131966083527
64,4,324.2281091523,em,69.0131966083527
65,4,327.4978774767005,em,73.13399941062926
66,4,330.76762678717205,em,73.13399941062926
67,4,334.0772673206375,em,73.13399941062926
68,4,337.347016631109,em,73.13399941062926
69,4,340.6167849555095,em,73.13399941062926
70,4,343.886534265981,em,77.234398828125
70,5,363.386534265981,em,77.234398828125
71,5,366.65630259038153,em,77.234398828125
72,5,369.92605190085305,em,77.234398828125
73,5,373.19582022525356,em,77.234398828125
74,5,376.4655695357251,em,77.234398828125
75,5,379.7353378601256,em,81.35519676666263
76,5,383.0050871705971,em,81.35519676666263
77,5,386.2748554949976,em,81.35519676666263
78,5,389.54460480546913,em,81.35519676666263
79,5,392.81435411594066,em,81.35519676666263
80,5,396.08412244034116,em,85.47599956893919
80,6,415.48411633682554,em,85.47599956893919
81,6,418.75386564729706,em,85.47599956893919
82,6,422.02363397169756,em,85.47599956893919
83,6,425.2933832821691,em,85.47599956893919
84,6,428.5631516065696,em,85.47599956893919
85,6,431.87277312610604,em,89.59680237121574
86,6,435.14254145050654,em,89.59680237121574
87,6,438.41229076097807,em,89.59680237121574
88,6,441.6820400714496,em,89.59680237121574
89,6,444.95182740977907,em,89.59680237121574
90,6,448.2215767202506,em,93.71759544601446
