level,ascension,base_atk,substat,substat_value
1,0,43.734901428222656,em,24
2,0,47.58357533985509,em,24
3,0,51.43224403788099,em,24
4,0,55.28091794951342,em,24
5,0,59.17332359270131,em,27.887998580932617
6,0,63.065729235889194,em,27.887998580932617
7,0,66.95813487907708,em,27.887998580932617
8,0,70.89427746742695,em,27.887998580932617
9,0,74.78668311061483,em,27.887998580932617
10,0,78.72282048535817,em,32.71200084686279
11,0,82.70270001887002,em,32.71200084686279
12,0,86.63883739361336,em,32.71200084686279
13,0,90.6187169271252,em,32.71200084686279
14,0,94.55485430186855,em,32.71200084686279
15,0,98.5347338353804,em,37.560001373291016
16,0,102.5583451004477,em,37.560001373291016
17,0,106.53822463395954,em,37.560001373291016
18,0,110.51809374025834,em,37.560001373291016
19,0,114.54170500532564,em,37.560001373291016
20,0,118.56531627039294,em,42.40799903869629
20,1,144.46531588892321,em,42.40799903869629
21,1,148.48892715399052,em,42.40799903869629
22,1,152.51253841905782,em,42.40799903869629
23,1,156.53614968412512,em,42.40799903869629
24,1,160.60349268074788,em,42.40799903869629
25,1,164.62710394581518,em,47.25599956512451
26,1,168.694457369651,em,47.25599956512451
27,1,172.76180036627375,em,47.25599956512451
28,1,176.8291433628965,em,47.25599956512451
29,1,180.89648635951926,em,47.25599956512451
30,1,184.96383978335507,em,52.104000091552734
31,1,189.07491451153328,em,52.104000091552734
32,1,193.14225750815604,em,52.104000091552734
33,1,197.2533426635473,em,52.104000091552734
34,1,201.3206960873831,em,52.104000091552734
35,1,205.43177081556132,em,56.95199775695801
36,1,209.54284554373953,em,56.95199775695801
37,1,213.65394112634385,em,56.95199775695801
38,1,217.76501585452206,em,56.95199775695801
39,1,221.87609058270027,em,56.95199775695801
40,1,225.98716531087848,em,61.80000114440918
40,2,251.9871672182271,em,61.80000114440918
41,2,256.09826280083144,em,61.80000114440918
42,2,260.20933752900964,em,61.80000114440918
43,2,264.3641439887433,em,61.80000114440918
44,2,268.47523957134763,em,61.80000114440918
45,2,272.6300460310813,em,66.64799880981445
46,2,276.78487334524107,em,66.64799880981445
47,2,280.8959480734193,em,66.64799880981445
48,2,285.05075453315294,em,66.64799880981445
49,2,289.2055818473127,em,66.64799880981445
50,2,293.3603883070464,em,71.49600219726562
50,3,319.2603898329253,em,71.49600219726562
51,3,323.41521714708506,em,71.49600219726562
52,3,327.5700236068187,em,71.49600219726562
53,3,331.7248509209785,em,71.49600219726562
54,3,335.87965738071216,em,71.49600219726562
55,3,340.0344638404458,em,76.3439998626709
56,3,344.23302288616105,em,76.3439998626709
57,3,348.3878293458947,em,76.3439998626709
58,3,352.5426566600545,em,76.3439998626709
59,3,356.7411948513436,em,76.3439998626709
60,3,360.8960221655034,em,81.19199752807617
60,4,386.79601606198776,em,81.19199752807617
61,4,390.9945542532769,em,81.19199752807617
62,4,395.14938156743665,em,81.19199752807617
63,4,399.3479406131519,em,81.19199752807617
64,4,403.546478804441,em,81.19199752807617
65,4,407.70130611860077,em,86.04000091552734
66,4,411.8998443098899,em,86.04000091552734
67,4,416.0984033556051,em,86.04000091552734
68,4,420.29694154689423,em,86.04000091552734
69,4,424.49550059260946,em,86.04000091552734
70,4,428.6940596383247,em,90.86400032043457
70,5,454.6940596383247,em,90.86400032043457
71,5,458.8925978296138,em,90.86400032043457
72,5,463.09115687532903,em,90.86400032043457
73,5,467.28969506661815,em,90.86400032043457
74,5,471.4882541123334,em,90.86400032043457
75,5,475.6867923036225,em,95.71199798583984
76,5,479.8853513493377,em,95.71199798583984
77,5,484.08388954062684,em,95.71199798583984
78,5,488.2824694407682,em,95.71199798583984
79,5,492.52471850918664,em,95.71199798583984
80,5,496.723298409328,em,100.56000137329102
80,6,522.6233075646014,em,100.56000137329102
81,6,526.8218457558905,em,100.56000137329102
82,6,531.0641365331612,em,100.56000137329102
83,6,535.2626747244503,em,100.56000137329102
84,6,539.4612546245917,em,100.56000137329102
85,6,543.7035036930101,em,105.40800476074219
86,6,547.9020835931515,em,105.40800476074219
87,6,552.1443743704222,em,105.40800476074219
88,6,556.3429125617113,em,105.40800476074219
89,6,560.585203338982,em,105.40800476074219
90,6,564.7837415302711,em,110.25599670410156
