level,ascension,base_atk,substat,substat_value
1,0,38.74129867553711,er,0.08500000089406967
2,0,41.68563641426681,er,0.08500000089406967
3,0,44.62997415299651,er,0.08500000089406967
4,0,47.5743165100489,er,0.08500000089406967
5,0,50.47991113972057,er,0.09876999601304526
6,0,53.42424887845027,er,0.09876999601304526
7,0,56.32984812644463,er,0.09876999601304526
8,0,59.23544737443899,er,0.09876999601304526
9,0,62.14104200411066,er,0.09876999601304526
10,0,65.04664125210502,er,0.11585500421792272
11,0,67.95223588177669,er,0.11585500421792272
12,0,70.81909202071301,er,0.11585500421792272
13,0,73.72469126870737,er,0.11585500421792272
14,0,76.5915474076437,er,0.11585500421792272
15,0,79.45840816490272,er,0.1330250062629581
16,0,82.32525968551636,er,0.1330250062629581
17,0,85.19211120613,er,0.1330250062629581
18,0,88.05897196338901,er,0.1330250062629581
19,0,90.92582348400265,er,0.1330250062629581
20,0,93.75394575052633,er,0.15019499817520376
20,1,113.25394575052633,er,0.15019499817520376
21,1,116.08205878040462,er,0.15019499817520376
22,1,118.94891030101826,er,0.15019499817520376
23,1,121.77703256754194,er,0.15019499817520376
24,1,124.60514559742023,er,0.15019499817520376
25,1,127.43325862729853,er,0.16736500022023915
26,1,130.26137165717682,er,0.16736500022023915
27,1,133.05074619631978,er,0.16736500022023915
28,1,135.87885922619807,er,0.16736500022023915
29,1,138.66823376534103,er,0.16736500022023915
30,1,141.45760830448398,er,0.18453500226527453
31,1,144.28572133436228,er,0.18453500226527453
32,1,147.07509587350523,er,0.18453500226527453
33,1,149.8644704126482,er,0.18453500226527453
34,1,152.65384495179114,er,0.18453500226527453
35,1,155.40447176355337,er,0.2017049941775202
36,1,158.19384630269633,er,0.2017049941775202
37,1,160.98322084183928,er,0.2017049941775202
38,1,163.7338568902469,er,0.2017049941775202
39,1,166.48448370200913,er,0.2017049941775202
40,1,169.27385824115208,er,0.2188750063553453
40,2,188.673859767031,er,0.2188750063553453
41,2,191.4244958154386,er,0.2188750063553453
42,2,194.17512262720084,er,0.2188750063553453
43,2,196.92575867560845,er,0.2188750063553453
44,2,199.67639472401606,er,0.2188750063553453
45,2,202.42703077242368,er,0.23604499826759096
46,2,205.13890985680518,er,0.23604499826759096
47,2,207.8895459052128,er,0.23604499826759096
48,2,210.6401819536204,er,0.23604499826759096
49,2,213.35206103800192,er,0.23604499826759096
50,2,216.10269708640953,er,0.25321501044541606
50,3,235.60269708640953,er,0.25321501044541606
51,3,238.3145946440818,er,0.25321501044541606
52,3,241.02649220175408,er,0.25321501044541606
53,3,243.7383712861356,er,0.25321501044541606
54,3,246.4890073345432,er,0.25321501044541606
55,3,249.20090489221548,er,0.2703850023576617
56,3,251.91278397659698,er,0.2703850023576617
57,3,254.62468153426926,er,0.2703850023576617
58,3,257.2978221279154,er,0.2703850023576617
59,3,260.0097196855877,er,0.2703850023576617
60,3,262.72161724325997,er,0.2875549942699074
60,4,282.1216187691389,er,0.2875549942699074
61,4,284.8334978535204,er,0.2875549942699074
62,4,287.5066569204573,er,0.2875549942699074
63,4,290.2185360048388,er,0.2875549942699074
64,4,292.89169507177576,er,0.2875549942699074
65,4,295.60359262944803,er,0.3047250064477325
66,4,298.2767332230942,er,0.3047250064477325
67,4,300.98863078076647,er,0.3047250064477325
68,4,303.66177137441264,er,0.3047250064477325
69,4,306.33493044134957,er,0.3047250064477325
70,4,309.00807103499574,er,0.3218100045198202
70,5,328.50807103499574,er,0.3218100045198202
71,5,331.219968592668,er,0.3218100045198202
72,5,333.8931091863142,er,0.3218100045198202
73,5,336.5662682532511,er,0.3218100045198202
74,5,339.2394088468973,er,0.3218100045198202
75,5,341.9125679138342,er,0.3389799964320659
76,5,344.5857085074804,er,0.3389799964320659
77,5,347.2588675744173,er,0.3389799964320659
78,5,349.9320081680635,er,0.3389799964320659
79,5,352.6051672350004,er,0.3389799964320659
80,5,355.2783078286466,er,0.356150008609891
80,6,374.67830172513095,er,0.356150008609891
81,6,377.31272230133254,er,0.356150008609891
82,6,379.9858628949787,er,0.356150008609891
83,6,382.6590034886249,er,0.356150008609891
84,6,385.3321625555618,er,0.356150008609891
85,6,388.005303149208,er,0.3733200207877161
86,6,390.63972372540957,er,0.3733200207877161
87,6,393.31286431905573,er,0.3733200207877161
88,6,395.98602338599267,er,0.3733200207877161
89,6,398.6204254889035,er,0.3733200207877161
90,6,401.2935845558404,er,0.3904899924343823
