level,ascension,base_atk,substat,substat_value
1,0,47.5369987487793,atk%,0.07199999690055847
2,0,51.86286377619081,atk%,0.07199999690055847
3,0,56.23626802375702,atk%,0.07199999690055847
4,0,60.609672271323234,atk%,0.07199999690055847
5,0,65.03061573904415,atk%,0.08366399214124698
6,0,69.45155353991322,atk%,0.08366399214124698
7,0,73.87249700763414,atk%,0.08366399214124698
8,0,78.34097402865791,atk%,0.08366399214124698
9,0,82.85699026983639,atk%,0.08366399214124698
10,0,87.32546729086016,atk%,0.09813599831604947
11,0,91.8890170853415,atk%,0.09813599831604947
12,0,96.40503899337182,atk%,0.09813599831604947
13,0,100.96858878785315,atk%,0.09813599831604947
14,0,105.53213858233448,atk%,0.09813599831604947
15,0,110.14322193011867,atk%,0.11267999926924688
16,0,114.75431661160655,atk%,0.11267999926924688
17,0,119.36539995939074,atk%,0.11267999926924688
18,0,123.97649464087863,atk%,0.11267999926924688
19,0,128.63512287566937,atk%,0.11267999926924688
20,0,133.2937397767564,atk%,0.1272239916393758
20,1,164.39374015822614,atk%,0.1272239916393758
21,1,169.09991328002343,atk%,0.1272239916393758
22,1,173.80607506811702,atk%,0.1272239916393758
23,1,178.51223685621062,atk%,0.1272239916393758
24,1,183.21839864430422,atk%,0.1272239916393758
25,1,187.97209398570067,atk%,0.14176799259257322
26,1,192.72580066080081,atk%,0.14176799259257322
27,1,197.47949600219727,atk%,0.14176799259257322
28,1,202.28073623060027,atk%,0.14176799259257322
29,1,207.03443157199672,atk%,0.14176799259257322
30,1,211.88320535370258,atk%,0.15631199354577063
31,1,216.68444558210558,atk%,0.15631199354577063
32,1,221.48568581050858,atk%,0.15631199354577063
33,1,226.33444825851075,atk%,0.15631199354577063
34,1,231.1832333739203,atk%,0.15631199354577063
35,1,236.07952937522532,atk%,0.17085598591589957
36,1,240.92831449063488,atk%,0.17085598591589957
37,1,245.8246331593473,atk%,0.17085598591589957
38,1,250.7209291606523,atk%,0.17085598591589957
39,1,255.61724782936471,atk%,0.17085598591589957
40,1,260.56110005138,atk%,0.18539999545216546
40,2,291.6611004328497,atk%,0.18539999545216546
41,2,296.604952654865,atk%,0.18539999545216546
42,2,301.54878220947285,atk%,0.18539999545216546
43,2,306.4926344314881,atk%,0.18539999545216546
44,2,311.4364866535034,atk%,0.18539999545216546
45,2,316.4278724288215,atk%,0.1999439878222944
46,2,321.4192582041396,atk%,0.1999439878222944
47,2,326.41064397945775,atk%,0.1999439878222944
48,2,331.40202975477587,atk%,0.1999439878222944
49,2,336.393415530094,atk%,0.1999439878222944
50,2,341.43233485871497,atk%,0.21448799735856028
50,3,372.6323356216544,atk%,0.21448799735856028
51,3,377.6712549502754,atk%,0.21448799735856028
52,3,382.7101742788964,atk%,0.21448799735856028
53,3,387.74909360751735,atk%,0.21448799735856028
54,3,392.8355464894412,atk%,0.21448799735856028
55,3,397.9220220387724,atk%,0.2290319897286892
56,3,403.00847492069624,atk%,0.2290319897286892
57,3,408.0949278026201,atk%,0.2290319897286892
58,3,413.1814033519513,atk%,0.2290319897286892
59,3,418.315389787178,atk%,0.2290319897286892
60,3,423.4018426691018,atk%,0.24357598209881814
60,4,454.5018411432229,atk%,0.24357598209881814
61,4,459.635850245857,atk%,0.24357598209881814
62,4,464.7698366810837,atk%,0.24357598209881814
63,4,469.9513793370206,atk%,0.24357598209881814
64,4,475.0853657722473,atk%,0.24357598209881814
65,4,480.26690842818425,atk%,0.25811999163508403
66,4,485.40089486341094,atk%,0.25811999163508403
67,4,490.5824375193479,atk%,0.25811999163508403
68,4,495.8114910611803,atk%,0.25811999163508403
69,4,500.9930337171172,atk%,0.25811999163508403
70,4,506.2220872589496,atk%,0.27259198922681804
70,5,537.3220933624652,atk%,0.27259198922681804
71,5,542.5036360184022,atk%,0.27259198922681804
72,5,547.7326895602346,atk%,0.27259198922681804
73,5,552.9617884368818,atk%,0.27259198922681804
74,5,558.2383981994244,atk%,0.27259198922681804
75,5,563.4674517412568,atk%,0.287135981596947
76,5,568.7440615037995,atk%,0.287135981596947
77,5,574.0206712663421,atk%,0.287135981596947
78,5,579.2972810288848,atk%,0.287135981596947
79,5,584.5738907914274,atk%,0.287135981596947
80,5,589.85050055397,atk%,0.30167999113321287
80,6,620.9504913986966,atk%,0.30167999113321287
81,6,626.2746120471347,atk%,0.30167999113321287
82,6,631.5512218096774,atk%,0.30167999113321287
83,6,636.8753877929303,atk%,0.30167999113321287
84,6,642.1995084413684,atk%,0.30167999113321287
85,6,647.5236744246213,atk%,0.31622400066947876
86,6,652.8953512937696,atk%,0.31622400066947876
87,6,658.2194719422077,atk%,0.31622400066947876
88,6,663.5911488113561,atk%,0.31622400066947876
89,6,668.9628710153193,atk%,0.31622400066947876
90,6,674.3345478844676,atk%,0.33076797587347073
