level,ascension,base_atk,substat,substat_value
1,0,43.734901428222656,er,0.06666699796915054
2,0,47.58357533985509,er,0.06666699796915054
3,0,51.43224403788099,er,0.06666699796915054
4,0,55.28091794951342,er,0.06666699796915054
5,0,59.17332359270131,er,0.0774670476982795
6,0,63.065729235889194,er,0.0774670476982795
7,0,66.95813487907708,er,0.0774670476982795
8,0,70.89427746742695,er,0.0774670476982795
9,0,74.78668311061483,er,0.0774670476982795
10,0,78.72282048535817,er,0.09086712058436053
11,0,82.70270001887002,er,0.09086712058436053
12,0,86.63883739361336,er,0.09086712058436053
13,0,90.6187169271252,er,0.09086712058436053
14,0,94.55485430186855,er,0.09086712058436053
15,0,98.5347338353804,er,0.10433385563643682
16,0,102.5583451004477,er,0.10433385563643682
17,0,106.53822463395954,er,0.10433385563643682
18,0,110.51809374025834,er,0.10433385563643682
19,0,114.54170500532564,er,0.10433385563643682
20,0,118.56531627039294,er,0.11780058274118765
20,1,144.46531588892321,er,0.11780058274118765
21,1,148.48892715399052,er,0.11780058274118765
22,1,152.51253841905782,er,0.11780058274118765
23,1,156.53614968412512,er,0.11780058274118765
24,1,160.60349268074788,er,0.11780058274118765
25,1,164.62710394581518,er,0.13126731779326395
26,1,168.694457369651,er,0.13126731779326395
27,1,172.76180036627375,er,0.13126731779326395
28,1,176.8291433628965,er,0.13126731779326395
29,1,180.89648635951926,er,0.13126731779326395
30,1,184.96383978335507,er,0.14473405284534024
31,1,189.07491451153328,er,0.14473405284534024
32,1,193.14225750815604,er,0.14473405284534024
33,1,197.2533426635473,er,0.14473405284534024
34,1,201.3206960873831,er,0.14473405284534024
35,1,205.43177081556132,er,0.15820077995009107
36,1,209.54284554373953,er,0.15820077995009107
37,1,213.65394112634385,er,0.15820077995009107
38,1,217.76501585452206,er,0.15820077995009107
39,1,221.87609058270027,er,0.15820077995009107
40,1,225.98716531087848,er,0.17166752294949283
40,2,251.9871672182271,er,0.17166752294949283
41,2,256.09826280083144,er,0.17166752294949283
42,2,260.20933752900964,er,0.17166752294949283
43,2,264.3641439887433,er,0.17166752294949283
44,2,268.47523957134763,er,0.17166752294949283
45,2,272.6300460310813,er,0.18513425005424367
46,2,276.78487334524107,er,0.18513425005424367
47,2,280.8959480734193,er,0.18513425005424367
48,2,285.05075453315294,er,0.18513425005424367
49,2,289.2055818473127,er,0.18513425005424367
50,2,293.3603883070464,er,0.19860099305364542
50,3,319.2603898329253,er,0.19860099305364542
51,3,323.41521714708506,er,0.19860099305364542
52,3,327.5700236068187,er,0.19860099305364542
53,3,331.7248509209785,er,0.19860099305364542
54,3,335.87965738071216,er,0.19860099305364542
55,3,340.0344638404458,er,0.21206772015839626
56,3,344.23302288616105,er,0.21206772015839626
57,3,348.3878293458947,er,0.21206772015839626
58,3,352.5426566600545,er,0.21206772015839626
59,3,356.7411948513436,er,0.21206772015839626
60,3,360.8960221655034,er,0.2255344472631471
60,4,386.79601606198776,er,0.2255344472631471
61,4,390.9945542532769,er,0.2255344472631471
62,4,395.14938156743665,er,0.2255344472631471
63,4,399.3479406131519,er,0.2255344472631471
64,4,403.546478804441,er,0.2255344472631471
65,4,407.70130611860077,er,0.23900119026254885
66,4,411.8998443098899,er,0.23900119026254885
67,4,416.0984033556051,er,0.23900119026254885
68,4,420.29694154689423,er,0.23900119026254885
69,4,424.49550059260946,er,0.23900119026254885
70,4,428.6940596383247,er,0.2524012552013044
70,5,454.6940596383247,er,0.2524012552013044
71,5,458.8925978296138,er,0.2524012552013044
72,5,463.09115687532903,er,0.2524012552013044
73,5,467.28969506661815,er,0.2524012552013044
74,5,471.4882541123334,er,0.2524012552013044
75,5,475.6867923036225,er,0.26586798230605524
76,5,479.8853513493377,er,0.26586798230605524
77,5,484.08388954062684,er,0.26586798230605524
78,5,488.2824694407682,er,0.26586798230605524
79,5,492.52471850918664,er,0.26586798230605524
80,5,496.723298409328,er,0.279334725305457
80,6,522.6233075646014,er,0.279334725305457
81,6,526.8218457558905,er,0.279334725305457
82,6,531.0641365331612,er,0.279334725305457
83,6,535.2626747244503,er,0.279334725305457
84,6,539.4612546245917,er,0.279334725305457
85,6,543.7035036930101,er,0.29280146830485876
86,6,547.9020835931515,er,0.29280146830485876
87,6,552.1443743704222,er,0.29280146830485876
88,6,556.3429125617113,er,0.29280146830485876
89,6,560.585203338982,er,0.29280146830485876
90,6,564.7837415302711,er,0.30626817951495866
