level,ascension,base_atk,substat,substat_value
1,0,38.74129867553711,hp%,0.07660000026226044
2,0,41.68563641426681,hp%,0.07660000026226044
3,0,44.62997415299651,hp%,0.07660000026226044
4,0,47.5743165100489,hp%,0.07660000026226044
5,0,50.47991113972057,hp%,0.08900919577555655
6,0,53.42424887845027,hp%,0.08900919577555655
7,0,56.32984812644463,hp%,0.08900919577555655
8,0,59.23544737443899,hp%,0.08900919577555655
9,0,62.14104200411066,hp%,0.08900919577555655
10,0,65.04664125210502,hp%,0.10440580306036473
11,0,67.95223588177669,hp%,0.10440580306036473
12,0,70.81909202071301,hp%,0.10440580306036473
13,0,73.72469126870737,hp%,0.10440580306036473
14,0,76.5915474076437,hp%,0.10440580306036473
15,0,79.45840816490272,hp%,0.11987900479352476
16,0,82.32525968551636,hp%,0.11987900479352476
17,0,85.19211120613,hp%,0.11987900479352476
18,0,88.05897196338901,hp%,0.11987900479352476
19,0,90.92582348400265,hp%,0.11987900479352476
20,0,93.75394575052633,hp%,0.13535219739525317
20,1,113.25394575052633,hp%,0.13535219739525317
21,1,116.08205878040462,hp%,0.13535219739525317
22,1,118.94891030101826,hp%,0.13535219739525317
23,1,121.77703256754194,hp%,0.13535219739525317
24,1,124.60514559742023,hp%,0.13535219739525317
25,1,127.43325862729853,hp%,0.1508253991284132
26,1,130.26137165717682,hp%,0.1508253991284132
27,1,133.05074619631978,hp%,0.1508253991284132
28,1,135.87885922619807,hp%,0.1508253991284132
29,1,138.66823376534103,hp%,0.1508253991284132
30,1,141.45760830448398,hp%,0.16629860086157322
31,1,144.28572133436228,hp%,0.16629860086157322
32,1,147.07509587350523,hp%,0.16629860086157322
33,1,149.8644704126482,hp%,0.16629860086157322
34,1,152.65384495179114,hp%,0.16629860086157322
35,1,155.40447176355337,hp%,0.18177179346330163
36,1,158.19384630269633,hp%,0.18177179346330163
37,1,160.98322084183928,hp%,0.18177179346330163
38,1,163.7338568902469,hp%,0.18177179346330163
39,1,166.48448370200913,hp%,0.18177179346330163
40,1,169.27385824115208,hp%,0.19724500432789327
40,2,188.673859767031,hp%,0.19724500432789327
41,2,191.4244958154386,hp%,0.19724500432789327
42,2,194.17512262720084,hp%,0.19724500432789327
43,2,196.92575867560845,hp%,0.19724500432789327
44,2,199.67639472401606,hp%,0.19724500432789327
45,2,202.42703077242368,hp%,0.21271819692962168
46,2,205.13890985680518,hp%,0.21271819692962168
47,2,207.8895459052128,hp%,0.21271819692962168
48,2,210.6401819536204,hp%,0.21271819692962168
49,2,213.35206103800192,hp%,0.21271819692962168
50,2,216.10269708640953,hp%,0.22819140779421332
50,3,235.60269708640953,hp%,0.22819140779421332
51,3,238.3145946440818,hp%,0.22819140779421332
52,3,241.02649220175408,hp%,0.22819140779421332
53,3,243.7383712861356,hp%,0.22819140779421332
54,3,246.4890073345432,hp%,0.22819140779421332
55,3,249.20090489221548,hp%,0.24366460039594173
56,3,251.91278397659698,hp%,0.24366460039594173
57,3,254.62468153426926,hp%,0.24366460039594173
58,3,257.2978221279154,hp%,0.24366460039594173
59,3,260.0097196855877,hp%,0.24366460039594173
60,3,262.72161724325997,hp%,0.25913779299767015
60,4,282.1216187691389,hp%,0.25913779299767015
61,4,284.8334978535204,hp%,0.25913779299767015
62,4,287.5066569204573,hp%,0.25913779299767015
63,4,290.2185360048388,hp%,0.25913779299767015
64,4,292.89169507177576,hp%,0.25913779299767015
65,4,295.60359262944803,hp%,0.2746110038622618
66,4,298.2767332230942,hp%,0.2746110038622618
67,4,300.98863078076647,hp%,0.2746110038622618
68,4,303.66177137441264,hp%,0.2746110038622618
69,4,306.33493044134957,hp%,0.2746110038622618
70,4,309.00807103499574,hp%,0.29000760201563835
70,5,328.50807103499574,hp%,0.29000760201563835
71,5,331.219968592668,hp%,0.29000760201563835
72,5,333.8931091863142,hp%,0.29000760201563835
73,5,336.5662682532511,hp%,0.29000760201563835
74,5,339.2394088468973,hp%,0.29000760201563835
75,5,341.9125679138342,hp%,0.30548079461736677
76,5,344.5857085074804,hp%,0.30548079461736677
77,5,347.2588675744173,hp%,0.30548079461736677
78,5,349.9320081680635,hp%,0.30548079461736677
79,5,352.6051672350004,hp%,0.30548079461736677
80,5,355.2783078286466,hp%,0.3209540054819584
80,6,374.67830172513095,hp%,0.3209540054819584
81,6,377.31272230133254,hp%,0.3209540054819584
82,6,379.9858628949787,hp%,0.3209540054819584
83,6,382.6590034886249,hp%,0.3209540054819584
84,6,385.3321625555618,hp%,0.3209540054819584
85,6,388.005303149208,hp%,0.33642721634655004
86,6,390.63972372540957,hp%,0.33642721634655004
87,6,393.31286431905573,hp%,0.33642721634655004
88,6,395.98602338599267,hp%,0.33642721634655004
89,6,398.6204254889035,hp%,0.33642721634655004
90,6,401.2935845558404,hp%,0.35190039068541523
