level,ascension,base_atk,substat,substat_value
1,0,42.4010009765625,em,36
2,0,45.92028171228594,em,36
3,0,49.39716452022549,em,36
4,0,52.91645031054213,em,36
5,0,56.39333311848168,em,41.831997871398926
6,0,59.91261385420512,em,41.831997871398926
7,0,63.389496662144666,em,41.831997871398926
8,0,66.9087773978681,em,41.831997871398926
9,0,70.42806318818475,em,41.831997871398926
10,0,73.9049459961243,em,49.06800127029419
11,0,77.42422673184774,em,49.06800127029419
12,0,80.90110953978729,em,49.06800127029419
13,0,84.42039533010393,em,49.06800127029419
14,0,87.89727308345027,em,49.06800127029419
15,0,91.41655381917371,em,56.34000205993652
16,0,94.93584466408356,em,56.34000205993652
17,0,98.41272747202311,em,56.34000205993652
18,0,101.93200820774655,em,56.34000205993652
19,0,105.4088910156861,em,56.34000205993652
20,0,108.92817175140954,em,63.611998558044434
20,1,134.8281713699398,em,63.611998558044434
21,1,138.30505417787936,em,63.611998558044434
22,1,141.8243349136028,em,63.611998558044434
23,1,145.34361564932624,em,63.611998558044434
24,1,148.82049845726578,em,63.611998558044434
25,1,152.33978930217563,em,70.88399934768677
26,1,155.81666200092877,em,70.88399934768677
27,1,159.33595284583862,em,70.88399934768677
28,1,162.81283565377817,em,70.88399934768677
29,1,166.3321163895016,em,70.88399934768677
30,1,169.80899919744115,em,78.1560001373291
31,1,173.3282799331646,em,78.1560001373291
32,1,176.84756066888804,em,78.1560001373291
33,1,180.32444347682758,em,78.1560001373291
34,1,183.84372421255102,em,78.1560001373291
35,1,187.32060702049057,em,85.42799663543701
36,1,190.83989786540042,em,85.42799663543701
37,1,194.31677056415356,em,85.42799663543701
38,1,197.836051299877,em,85.42799663543701
39,1,201.35534214478685,em,85.42799663543701
40,1,204.83221484354,em,92.70000171661377
40,2,230.83221675088862,em,92.70000171661377
41,2,234.35150759579847,em,92.70000171661377
42,2,237.82840051292442,em,92.70000171661377
43,2,241.34767113946145,em,92.70000171661377
44,2,244.8245640565874,em,92.70000171661377
45,2,248.34383468312444,em,99.97199821472168
46,2,251.8631255280343,em,99.97199821472168
47,2,255.33999822678743,em,99.97199821472168
48,2,258.8592890716973,em,99.97199821472168
49,2,262.3361617704504,em,99.97199821472168
50,2,265.85545261536026,em,107.24400329589844
50,3,291.75545414123917,em,107.24400329589844
51,3,295.2323268399923,em,107.24400329589844
52,3,298.75161768490216,em,107.24400329589844
53,3,302.270908529812,em,107.24400329589844
54,3,305.74778122856515,em,107.24400329589844
55,3,309.267072073475,em,114.51599979400635
56,3,312.74394477222813,em,114.51599979400635
57,3,316.263235617138,em,114.51599979400635
58,3,319.7401083158911,em,114.51599979400635
59,3,323.25939916080097,em,114.51599979400635
60,3,326.7786900057108,em,121.78799629211426
60,4,352.6786839021952,em,121.78799629211426
61,4,356.15555660094833,em,121.78799629211426
62,4,359.6748474458582,em,121.78799629211426
63,4,363.1517201446113,em,121.78799629211426
64,4,366.67101098952116,em,121.78799629211426
65,4,370.1478836882743,em,129.06000137329102
66,4,373.66717453318415,em,129.06000137329102
67,4,377.1864451597212,em,129.06000137329102
68,4,380.66333807684714,em,129.06000137329102
69,4,384.1826087033842,em,129.06000137329102
70,4,387.6595016205101,em,136.29600048065186
70,5,413.6595016205101,em,136.29600048065186
71,5,417.17879246542,em,136.29600048065186
72,5,420.6556651641731,em,136.29600048065186
73,5,424.17495600908296,em,136.29600048065186
74,5,427.69422663562,em,136.29600048065186
75,5,431.17111955274595,em,143.56799697875977
76,5,434.690390179283,em,143.56799697875977
77,5,438.16728309640894,em,143.56799697875977
78,5,441.686553722946,em,143.56799697875977
79,5,445.1634466400719,em,143.56799697875977
80,5,448.68271726660896,em,150.84000205993652
80,6,474.5827264218824,em,150.84000205993652
81,6,478.10201726679225,em,150.84000205993652
82,6,481.5789101839182,em,150.84000205993652
83,6,485.09818081045523,em,150.84000205993652
84,6,488.5750737275812,em,150.84000205993652
85,6,492.0943443541182,em,158.11200714111328
86,6,495.57121705287136,em,158.11200714111328
87,6,499.0905078977812,em,158.11200714111328
88,6,502.56738059653435,em,158.11200714111328
89,6,506.0866714414442,em,158.11200714111328
90,6,509.60596228635404,em,165.38399505615234
