level,ascension,base_atk,substat,substat_value
1,0,49.137699127197266,physical_dmg,0.04500000178813934
2,0,53.904056083119485,physical_dmg,0.04500000178813934
3,0,58.670413039041705,physical_dmg,0.04500000178813934
4,0,63.48590999029784,physical_dmg,0.04500000178813934
5,0,68.35054107921769,physical_dmg,0.05228999941706647
6,0,73.21517216813754,physical_dmg,0.05228999941706647
7,0,78.17807739005502,physical_dmg,0.05228999941706647
8,0,83.1409884696427,physical_dmg,0.05228999941706647
9,0,88.10389369156019,physical_dmg,0.05228999941706647
10,0,93.11593890881159,physical_dmg,0.061335004025101725
11,0,98.1771241213969,physical_dmg,0.061335004025101725
12,0,103.28744347164593,physical_dmg,0.061335004025101725
13,0,108.39776867956516,physical_dmg,0.061335004025101725
14,0,113.50808217214399,physical_dmg,0.061335004025101725
15,0,118.66754151772693,physical_dmg,0.07042500537335883
16,0,123.87613500097359,physical_dmg,0.07042500537335883
17,0,129.08474019956066,physical_dmg,0.07042500537335883
18,0,134.34246782047103,physical_dmg,0.07042500537335883
19,0,139.6002071567218,physical_dmg,0.07042500537335883
20,0,144.9070689152959,physical_dmg,0.07951500135719769
20,1,176.00706929676562,physical_dmg,0.07951500135719769
21,1,181.31394277068011,physical_dmg,0.07951500135719769
22,1,186.6208162445946,physical_dmg,0.07951500135719769
23,1,191.9768238561728,physical_dmg,0.07951500135719769
24,1,197.38197732075514,physical_dmg,0.07951500135719769
25,1,202.73798493233335,physical_dmg,0.0886050027054548
26,1,208.1922725345794,physical_dmg,0.0886050027054548
27,1,213.5974142838213,physical_dmg,0.0886050027054548
28,1,219.05170188606735,physical_dmg,0.0886050027054548
29,1,224.5551236259771,physical_dmg,0.0886050027054548
30,1,230.05853365054645,physical_dmg,0.0976950040537119
31,1,235.5619553904562,physical_dmg,0.0976950040537119
32,1,241.06537713036596,physical_dmg,0.0976950040537119
33,1,246.61795643862024,physical_dmg,0.0976950040537119
34,1,252.1705123161937,physical_dmg,0.0976950040537119
35,1,257.7722023314309,physical_dmg,0.10678500003755076
36,1,263.3739157773489,physical_dmg,0.10678500003755076
37,1,268.97560579258607,physical_dmg,0.10678500003755076
38,1,274.62642994548696,physical_dmg,0.10678500003755076
39,1,280.27727752906867,physical_dmg,0.10678500003755076
40,1,285.92810168196957,physical_dmg,0.1158750067502261
40,2,317.0281020634393,physical_dmg,0.1158750067502261
41,2,322.678949647021,physical_dmg,0.1158750067502261
42,2,328.3789079375856,physical_dmg,0.1158750067502261
43,2,334.07888965883103,physical_dmg,0.1158750067502261
44,2,339.82800551774017,physical_dmg,0.1158750067502261
45,2,345.5771213766493,physical_dmg,0.12496500273406497
46,2,351.3262138048776,physical_dmg,0.12496500273406497
47,2,357.07532966378676,physical_dmg,0.12496500273406497
48,2,362.8244455226959,physical_dmg,0.12496500273406497
49,2,368.62269551926875,physical_dmg,0.12496500273406497
50,2,374.4209455158416,physical_dmg,0.13405500944674031
50,3,405.62094627878105,physical_dmg,0.13405500944674031
51,3,411.4683304130176,physical_dmg,0.13405500944674031
52,3,417.3157145472542,physical_dmg,0.13405500944674031
53,3,423.113964543827,physical_dmg,0.13405500944674031
54,3,429.0104828157273,physical_dmg,0.13405500944674031
55,3,434.85786694996386,physical_dmg,0.14314500543057918
56,3,440.75438522186414,physical_dmg,0.14314500543057918
57,3,446.65092692444523,physical_dmg,0.14314500543057918
58,3,452.5474451963455,physical_dmg,0.14314500543057918
59,3,458.4439634682458,physical_dmg,0.14314500543057918
60,3,464.3896393084906,physical_dmg,0.15223500141441804
60,4,495.4896377826117,physical_dmg,0.15223500141441804
61,4,501.43529019217567,physical_dmg,0.15223500141441804
62,4,507.38094260173966,physical_dmg,0.15223500141441804
63,4,513.3266184419845,physical_dmg,0.15223500141441804
64,4,519.3214049892122,physical_dmg,0.15223500141441804
65,4,525.3161915364399,physical_dmg,0.16132500812709338
66,4,531.3110249450292,physical_dmg,0.16132500812709338
67,4,537.3058114922569,physical_dmg,0.16132500812709338
68,4,543.3497556078291,physical_dmg,0.16132500812709338
69,4,549.3445421550568,physical_dmg,0.16132500812709338
70,4,555.3884862706291,physical_dmg,0.1703700073707104
70,5,586.4884923741447,physical_dmg,0.1703700073707104
71,5,592.5815471966998,physical_dmg,0.1703700073707104
72,5,598.6254913122721,physical_dmg,0.1703700073707104
73,5,604.7185929961888,physical_dmg,0.1703700073707104
74,5,610.7624902503994,physical_dmg,0.1703700073707104
75,5,616.8555919343162,physical_dmg,0.17946000335454926
76,5,622.9978043252158,physical_dmg,0.17946000335454926
77,5,629.090859147771,physical_dmg,0.17946000335454926
78,5,635.2330715386706,physical_dmg,0.17946000335454926
79,5,641.3752839295703,physical_dmg,0.17946000335454926
80,5,647.51749632047,physical_dmg,0.1885500100672246
80,6,678.6174871651965,physical_dmg,0.1885500100672246
81,6,684.7596995560962,physical_dmg,0.1885500100672246
82,6,690.9019119469958,physical_dmg,0.1885500100672246
83,6,697.09328190624,physical_dmg,0.1885500100672246
84,6,703.2846050041226,physical_dmg,0.1885500100672246
85,6,709.4759749633668,physical_dmg,0.19764001677989995
86,6,715.6673449226109,physical_dmg,0.19764001677989995
87,6,721.907825588838,physical_dmg,0.19764001677989995
88,6,728.0991486867206,physical_dmg,0.19764001677989995
89,6,734.3396762143093,physical_dmg,0.19764001677989995
90,6,740.5801568805364,physical_dmg,0.20673000203490233
