level,ascension,base_atk,substat,substat_value
1,0,42.4010009765625,crit_dmg,0.11999999731779099
2,0,45.92028171228594,crit_dmg,0.11999999731779099
3,0,49.39716452022549,crit_dmg,0.11999999731779099
4,0,52.91645031054213,crit_dmg,0.11999999731779099
5,0,56.39333311848168,crit_dmg,0.13943998978793637
6,0,59.91261385420512,crit_dmg,0.13943998978793637
7,0,63.389496662144666,crit_dmg,0.13943998978793637
8,0,66.9087773978681,crit_dmg,0.13943998978793637
9,0,70.42806318818475,crit_dmg,0.13943998978793637
10,0,73.9049459961243,crit_dmg,0.16356000057846298
11,0,77.42422673184774,crit_dmg,0.16356000057846298
12,0,80.90110953978729,crit_dmg,0.16356000057846298
13,0,84.42039533010393,crit_dmg,0.16356000057846298
14,0,87.89727308345027,crit_dmg,0.16356000057846298
15,0,91.41655381917371,crit_dmg,0.18780000266879782
16,0,94.93584466408356,crit_dmg,0.18780000266879782
17,0,98.41272747202311,crit_dmg,0.18780000266879782
18,0,101.93200820774655,crit_dmg,0.18780000266879782
19,0,105.4088910156861,crit_dmg,0.18780000266879782
20,0,108.92817175140954,crit_dmg,0.21203999045401822
20,1,134.8281713699398,crit_dmg,0.21203999045401822
21,1,138.30505417787936,crit_dmg,0.21203999045401822
22,1,141.8243349136028,crit_dmg,0.21203999045401822
23,1,145.34361564932624,crit_dmg,0.21203999045401822
24,1,148.82049845726578,crit_dmg,0.21203999045401822
25,1,152.33978930217563,crit_dmg,0.23627999254435306
26,1,155.81666200092877,crit_dmg,0.23627999254435306
27,1,159.33595284583862,crit_dmg,0.23627999254435306
28,1,162.81283565377817,crit_dmg,0.23627999254435306
29,1,166.3321163895016,crit_dmg,0.23627999254435306
30,1,169.80899919744115,crit_dmg,0.2605199946346879
31,1,173.3282799331646,crit_dmg,0.2605199946346879
32,1,176.84756066888804,crit_dmg,0.2605199946346879
33,1,180.32444347682758,crit_dmg,0.2605199946346879
34,1,183.84372421255102,crit_dmg,0.2605199946346879
35,1,187.32060702049057,crit_dmg,0.2847599824199083
36,1,190.83989786540042,crit_dmg,0.2847599824199083
37,1,194.31677056415356,crit_dmg,0.2847599824199083
38,1,197.836051299877,crit_dmg,0.2847599824199083
39,1,201.35534214478685,crit_dmg,0.2847599824199083
40,1,204.83221484354,crit_dmg,0.30899999881535756
40,2,230.83221675088862,crit_dmg,0.30899999881535756
41,2,234.35150759579847,crit_dmg,0.30899999881535756
42,2,237.82840051292442,crit_dmg,0.30899999881535756
43,2,241.34767113946145,crit_dmg,0.30899999881535756
44,2,244.8245640565874,crit_dmg,0.30899999881535756
45,2,248.34383468312444,crit_dmg,0.33323998660057796
46,2,251.8631255280343,crit_dmg,0.33323998660057796
47,2,255.33999822678743,crit_dmg,0.33323998660057796
48,2,258.8592890716973,crit_dmg,0.33323998660057796
49,2,262.3361617704504,crit_dmg,0.33323998660057796
50,2,265.85545261536026,crit_dmg,0.3574800029960272
50,3,291.75545414123917,crit_dmg,0.3574800029960272
51,3,295.2323268399923,crit_dmg,0.3574800029960272
52,3,298.75161768490216,crit_dmg,0.3574800029960272
53,3,302.270908529812,crit_dmg,0.3574800029960272
54,3,305.74778122856515,crit_dmg,0.3574800029960272
55,3,309.267072073475,crit_dmg,0.38171999078124763
56,3,312.74394477222813,crit_dmg,0.38171999078124763
57,3,316.263235617138,crit_dmg,0.38171999078124763
58,3,319.7401083158911,crit_dmg,0.38171999078124763
59,3,323.25939916080097,crit_dmg,0.38171999078124763
60,3,326.7786900057108,crit_dmg,0.40595997856646804
60,4,352.6786839021952,crit_dmg,0.40595997856646804
61,4,356.15555660094833,crit_dmg,0.40595997856646804
62,4,359.6748474458582,crit_dmg,0.40595997856646804
63,4,363.1517201446113,crit_dmg,0.40595997856646804
64,4,366.67101098952116,crit_dmg,0.40595997856646804
65,4,370.1478836882743,crit_dmg,0.4301999949619173
66,4,373.66717453318415,crit_dmg,0.4301999949619173
67,4,377.1864451597212,crit_dmg,0.4301999949619173
68,4,380.66333807684714,crit_dmg,0.4301999949619173
69,4,384.1826087033842,crit_dmg,0.4301999949619173
70,4,387.6595016205101,crit_dmg,0.4543199914473295
70,5,413.6595016205101,crit_dmg,0.4543199914473295
71,5,417.17879246542,crit_dmg,0.4543199914473295
72,5,420.6556651641731,crit_dmg,0.4543199914473295
73,5,424.17495600908296,crit_dmg,0.4543199914473295
74,5,427.69422663562,crit_dmg,0.4543199914473295
75,5,431.17111955274595,crit_dmg,0.4785599792325499
76,5,434.690390179283,crit_dmg,0.4785599792325499
77,5,438.16728309640894,crit_dmg,0.4785599792325499
78,5,441.686553722946,crit_dmg,0.4785599792325499
79,5,445.1634466400719,crit_dmg,0.4785599792325499
80,5,448.68271726660896,crit_dmg,0.5027999956279992
80,6,474.5827264218824,crit_dmg,0.5027999956279992
81,6,478.10201726679225,crit_dmg,0.5027999956279992
82,6,481.5789101839182,crit_dmg,0.5027999956279992
83,6,485.09818081045523,crit_dmg,0.5027999956279992
84,6,488.5750737275812,crit_dmg,0.5027999956279992
85,6,492.0943443541182,crit_dmg,0.5270400120234484
86,6,495.57121705287136,crit_dmg,0.5270400120234484
87,6,499.0905078977812,crit_dmg,0.5270400120234484
88,6,502.56738059653435,crit_dmg,0.5270400120234484
89,6,506.0866714414442,crit_dmg,0.5270400120234484
90,6,509.60596228635404,crit_dmg,0.55127997119844
