level,ascension,base_atk,substat,substat_value
1,0,47.5369987487793,er,0.07999999821186066
2,0,51.86286377619081,er,0.07999999821186066
3,0,56.23626802375702,er,0.07999999821186066
4,0,60.609672271323234,er,0.07999999821186066
5,0,65.03061573904415,er,0.09295999319195758
6,0,69.45155353991322,er,0.09295999319195758
7,0,73.87249700763414,er,0.09295999319195758
8,0,78.34097402865791,er,0.09295999319195758
9,0,82.85699026983639,er,0.09295999319195758
10,0,87.32546729086016,er,0.10904000038564199
11,0,91.8890170853415,er,0.10904000038564199
12,0,96.40503899337182,er,0.10904000038564199
13,0,100.96858878785315,er,0.10904000038564199
14,0,105.53213858233448,er,0.10904000038564199
15,0,110.14322193011867,er,0.12520000177919854
16,0,114.75431661160655,er,0.12520000177919854
17,0,119.36539995939074,er,0.12520000177919854
18,0,123.97649464087863,er,0.12520000177919854
19,0,128.63512287566937,er,0.12520000177919854
20,0,133.2937397767564,er,0.14135999363601215
20,1,164.39374015822614,er,0.14135999363601215
21,1,169.09991328002343,er,0.14135999363601215
22,1,173.80607506811702,er,0.14135999363601215
23,1,178.51223685621062,er,0.14135999363601215
24,1,183.21839864430422,er,0.14135999363601215
25,1,187.97209398570067,er,0.1575199950295687
26,1,192.72580066080081,er,0.1575199950295687
27,1,197.47949600219727,er,0.1575199950295687
28,1,202.28073623060027,er,0.1575199950295687
29,1,207.03443157199672,er,0.1575199950295687
30,1,211.88320535370258,er,0.17367999642312526
31,1,216.68444558210558,er,0.17367999642312526
32,1,221.48568581050858,er,0.17367999642312526
33,1,226.33444825851075,er,0.17367999642312526
34,1,231.1832333739203,er,0.17367999642312526
35,1,236.07952937522532,er,0.18983998827993886
36,1,240.92831449063488,er,0.18983998827993886
37,1,245.8246331593473,er,0.18983998827993886
38,1,250.7209291606523,er,0.18983998827993886
39,1,255.61724782936471,er,0.18983998827993886
40,1,260.56110005138,er,0.20599999921023837
40,2,291.6611004328497,er,0.20599999921023837
41,2,296.604952654865,er,0.20599999921023837
42,2,301.54878220947285,er,0.20599999921023837
43,2,306.4926344314881,er,0.20599999921023837
44,2,311.4364866535034,er,0.20599999921023837
45,2,316.4278724288215,er,0.22215999106705198
46,2,321.4192582041396,er,0.22215999106705198
47,2,326.41064397945775,er,0.22215999106705198
48,2,331.40202975477587,er,0.22215999106705198
49,2,336.393415530094,er,0.22215999106705198
50,2,341.43233485871497,er,0.23832000199735148
50,3,372.6323356216544,er,0.23832000199735148
51,3,377.6712549502754,er,0.23832000199735148
52,3,382.7101742788964,er,0.23832000199735148
53,3,387.74909360751735,er,0.23832000199735148
54,3,392.8355464894412,er,0.23832000199735148
55,3,397.9220220387724,er,0.2544799938541651
56,3,403.00847492069624,er,0.2544799938541651
57,3,408.0949278026201,er,0.2544799938541651
58,3,413.1814033519513,er,0.2544799938541651
59,3,418.315389787178,er,0.2544799938541651
60,3,423.4018426691018,er,0.2706399857109787
60,4,454.5018411432229,er,0.2706399857109787
61,4,459.635850245857,er,0.2706399857109787
62,4,464.7698366810837,er,0.2706399857109787
63,4,469.9513793370206,er,0.2706399857109787
64,4,475.0853657722473,er,0.2706399857109787
65,4,480.26690842818425,er,0.2867999966412782
66,4,485.40089486341094,er,0.2867999966412782
67,4,490.5824375193479,er,0.2867999966412782
68,4,495.8114910611803,er,0.2867999966412782
69,4,500.9930337171172,er,0.2867999966412782
70,4,506.2220872589496,er,0.30287999429821966
70,5,537.3220933624652,er,0.30287999429821966
71,5,542.5036360184022,er,0.30287999429821966
72,5,547.7326895602346,er,0.30287999429821966
73,5,552.9617884368818,er,0.30287999429821966
74,5,558.2383981994244,er,0.30287999429821966
75,5,563.4674517412568,er,0.31903998615503326
76,5,568.7440615037995,er,0.31903998615503326
77,5,574.0206712663421,er,0.31903998615503326
78,5,579.2972810288848,er,0.31903998615503326
79,5,584.5738907914274,er,0.31903998615503326
80,5,589.85050055397,er,0.33519999708533277
80,6,620.9504913986966,er,0.33519999708533277
81,6,626.2746120471347,er,0.33519999708533277
82,6,631.5512218096774,er,0.33519999708533277
83,6,636.8753877929303,er,0.33519999708533277
84,6,642.1995084413684,er,0.33519999708533277
85,6,647.5236744246213,er,0.3513600080156323
86,6,652.8953512937696,er,0.3513600080156323
87,6,658.2194719422077,er,0.3513600080156323
88,6,663.5911488113561,er,0.3513600080156323
89,6,668.9628710153193,er,0.3513600080156323
90,6,674.3345478844676,er,0.36751998079896
