level,ascension,base_atk,substat,substat_value
1,0,47.5369987487793,physical_dmg,0.09000000357627869
2,0,51.86286377619081,physical_dmg,0.09000000357627869
3,0,56.23626802375702,physical_dmg,0.09000000357627869
4,0,60.609672271323234,physical_dmg,0.09000000357627869
5,0,65.03061573904415,physical_dmg,0.10457999883413294
6,0,69.45155353991322,physical_dmg,0.10457999883413294
7,0,73.87249700763414,physical_dmg,0.10457999883413294
8,0,78.34097402865791,physical_dmg,0.10457999883413294
9,0,82.85699026983639,physical_dmg,0.10457999883413294
10,0,87.32546729086016,physical_dmg,0.12267000805020345
11,0,91.8890170853415,physical_dmg,0.12267000805020345
12,0,96.40503899337182,physical_dmg,0.12267000805020345
13,0,100.96858878785315,physical_dmg,0.12267000805020345
14,0,105.53213858233448,physical_dmg,0.12267000805020345
15,0,110.14322193011867,physical_dmg,0.14085001074671766
16,0,114.75431661160655,physical_dmg,0.14085001074671766
17,0,119.36539995939074,physical_dmg,0.14085001074671766
18,0,123.97649464087863,physical_dmg,0.14085001074671766
19,0,128.63512287566937,physical_dmg,0.14085001074671766
20,0,133.2937397767564,physical_dmg,0.15903000271439538
20,1,164.39374015822614,physical_dmg,0.15903000271439538
21,1,169.09991328002343,physical_dmg,0.15903000271439538
22,1,173.80607506811702,physical_dmg,0.15903000271439538
23,1,178.51223685621062,physical_dmg,0.15903000271439538
24,1,183.21839864430422,physical_dmg,0.15903000271439538
25,1,187.97209398570067,physical_dmg,0.1772100054109096
26,1,192.72580066080081,physical_dmg,0.1772100054109096
27,1,197.47949600219727,physical_dmg,0.1772100054109096
28,1,202.28073623060027,physical_dmg,0.1772100054109096
29,1,207.03443157199672,physical_dmg,0.1772100054109096
30,1,211.88320535370258,physical_dmg,0.1953900081074238
31,1,216.68444558210558,physical_dmg,0.1953900081074238
32,1,221.48568581050858,physical_dmg,0.1953900081074238
33,1,226.33444825851075,physical_dmg,0.1953900081074238
34,1,231.1832333739203,physical_dmg,0.1953900081074238
35,1,236.07952937522532,physical_dmg,0.21357000007510152
36,1,240.92831449063488,physical_dmg,0.21357000007510152
37,1,245.8246331593473,physical_dmg,0.21357000007510152
38,1,250.7209291606523,physical_dmg,0.21357000007510152
39,1,255.61724782936471,physical_dmg,0.21357000007510152
40,1,260.56110005138,physical_dmg,0.2317500135004522
40,2,291.6611004328497,physical_dmg,0.2317500135004522
41,2,296.604952654865,physical_dmg,0.2317500135004522
42,2,301.54878220947285,physical_dmg,0.2317500135004522
43,2,306.4926344314881,physical_dmg,0.2317500135004522
44,2,311.4364866535034,physical_dmg,0.2317500135004522
45,2,316.4278724288215,physical_dmg,0.24993000546812993
46,2,321.4192582041396,physical_dmg,0.24993000546812993
47,2,326.41064397945775,physical_dmg,0.24993000546812993
48,2,331.40202975477587,physical_dmg,0.24993000546812993
49,2,336.393415530094,physical_dmg,0.24993000546812993
50,2,341.43233485871497,physical_dmg,0.26811001889348063
50,3,372.6323356216544,physical_dmg,0.26811001889348063
51,3,377.6712549502754,physical_dmg,0.26811001889348063
52,3,382.7101742788964,physical_dmg,0.26811001889348063
53,3,387.74909360751735,physical_dmg,0.26811001889348063
54,3,392.8355464894412,physical_dmg,0.26811001889348063
55,3,397.9220220387724,physical_dmg,0.28629001086115835
56,3,403.00847492069624,physical_dmg,0.28629001086115835
57,3,408.0949278026201,physical_dmg,0.28629001086115835
58,3,413.1814033519513,physical_dmg,0.28629001086115835
59,3,418.315389787178,physical_dmg,0.28629001086115835
60,3,423.4018426691018,physical_dmg,0.3044700028288361
60,4,454.5018411432229,physical_dmg,0.3044700028288361
61,4,459.635850245857,physical_dmg,0.3044700028288361
62,4,464.7698366810837,physical_dmg,0.3044700028288361
63,4,469.9513793370206,physical_dmg,0.3044700028288361
64,4,475.0853657722473,physical_dmg,0.3044700028288361
65,4,480.26690842818425,physical_dmg,0.32265001625418677
66,4,485.40089486341094,physical_dmg,0.32265001625418677
67,4,490.5824375193479,physical_dmg,0.32265001625418677
68,4,495.8114910611803,physical_dmg,0.32265001625418677
69,4,500.9930337171172,physical_dmg,0.32265001625418677
70,4,506.2220872589496,physical_dmg,0.3407400147414208
70,5,537.3220933624652,physical_dmg,0.3407400147414208
71,5,542.5036360184022,physical_dmg,0.3407400147414208
72,5,547.7326895602346,physical_dmg,0.3407400147414208
73,5,552.9617884368818,physical_dmg,0.3407400147414208
74,5,558.2383981994244,physical_dmg,0.3407400147414208
75,5,563.4674517412568,physical_dmg,0.3589200067090985
76,5,568.7440615037995,physical_dmg,0.3589200067090985
77,5,574.0206712663421,physical_dmg,0.3589200067090985
78,5,579.2972810288848,physical_dmg,0.3589200067090985
79,5,584.5738907914274,physical_dmg,0.3589200067090985
80,5,589.85050055397,physical_dmg,0.3771000201344492
80,6,620.9504913986966,physical_dmg,0.3771000201344492
81,6,626.2746120471347,physical_dmg,0.3771000201344492
82,6,631.5512218096774,physical_dmg,0.3771000201344492
83,6,636.8753877929303,physical_dmg,0.3771000201344492
84,6,642.1995084413684,physical_dmg,0.3771000201344492
85,6,647.5236744246213,physical_dmg,0.3952800335597999
86,6,652.8953512937696,physical_dmg,0.3952800335597999
87,6,658.2194719422077,physical_dmg,0.3952800335597999
88,6,663.5911488113561,physical_dmg,0.3952800335597999
89,6,668.9628710153193,physical_dmg,0.3952800335597999
90,6,674.3345478844676,physical_dmg,0.41346000406980465
