level,ascension,base_atk,substat,substat_value
1,0,45.9364013671875,em,43.20000076293945
2,0,49.88693030766444,em,43.20000076293945
3,0,53.79152617621003,em,43.20000076293945
4,0,57.74205511668697,em,43.20000076293945
5,0,61.692589533209684,em,50.19839833221431
6,0,65.64311847368663,em,50.19839833221431
7,0,69.6395859621407,em,50.19839833221431
8,0,73.59011490261764,em,50.19839833221431
9,0,77.58658239107172,em,50.19839833221431
10,0,81.53711133154866,em,58.88160256423953
11,0,85.53357882000273,em,58.88160256423953
12,0,89.5300463084568,em,58.88160256423953
13,0,93.52651379691088,em,58.88160256423953
14,0,97.56891983334208,em,58.88160256423953
15,0,101.56538184575038,em,67.60800366592412
16,0,105.60778788218158,em,67.60800366592412
17,0,109.60424989458988,em,67.60800366592412
18,0,113.64665593102109,em,67.60800366592412
19,0,117.68906196745229,em,67.60800366592412
20,0,121.73146800388349,em,76.3343996177673
20,1,152.83146838535322,em,76.3343996177673
21,1,156.87386346969288,em,76.3343996177673
22,1,160.96220257805544,em,76.3343996177673
23,1,165.00460861448664,em,76.3343996177673
24,1,169.0929477228492,em,76.3343996177673
25,1,173.18128683121176,em,85.06080071945189
26,1,177.26962593957433,em,85.06080071945189
27,1,181.3579650479369,em,85.06080071945189
28,1,185.44630415629945,em,85.06080071945189
29,1,189.5805872886849,em,85.06080071945189
30,1,193.66892639704747,em,93.78720182113648
31,1,197.8031985773414,em,93.78720182113648
32,1,201.93748170972685,em,93.78720182113648
33,1,206.07175389002077,em,93.78720182113648
34,1,210.2060260703147,em,93.78720182113648
35,1,214.34030920270015,em,102.51359777297967
36,1,218.52051445492543,em,102.51359777297967
37,1,222.6547975873109,em,102.51359777297967
38,1,226.83501379162772,em,102.51359777297967
39,1,231.01522999594454,em,102.51359777297967
40,1,235.19542429607827,em,111.24000402450565
40,2,266.295424677548,em,111.24000402450565
41,2,270.4756408818648,em,111.24000402450565
42,2,274.65585708618164,em,111.24000402450565
43,2,278.8820063624298,em,111.24000402450565
44,2,283.06222256674664,em,111.24000402450565
45,2,287.2883718429948,em,119.96639997634884
46,2,291.514521119243,em,119.96639997634884
47,2,295.7406703954912,em,119.96639997634884
48,2,299.96681967173936,em,119.96639997634884
49,2,304.19296894798754,em,119.96639997634884
50,2,308.4191182242357,em,128.69280622787483
50,3,339.61911898717517,em,128.69280622787483
51,3,343.8912013353547,em,128.69280622787483
52,3,348.16328368353425,em,128.69280622787483
53,3,352.3894329597824,em,128.69280622787483
54,3,356.66151530796196,em,128.69280622787483
55,3,360.97953072807286,em,137.419202179718
56,3,365.2516349804355,em,137.419202179718
57,3,369.523717328615,em,137.419202179718
58,3,373.8417327487259,em,137.419202179718
59,3,378.11381509690545,em,137.419202179718
60,3,382.43183051701635,em,146.1455981315612
60,4,413.53182899113744,em,146.1455981315612
61,4,417.8498663154314,em,146.1455981315612
62,4,422.1678817355423,em,146.1455981315612
63,4,426.5318302275846,em,146.1455981315612
64,4,430.84986755187856,em,146.1455981315612
65,4,435.16788297198946,em,154.8720043830872
66,4,439.5318314640317,em,154.8720043830872
67,4,443.89580186025705,em,154.8720043830872
68,4,448.2597503522993,em,154.8720043830872
69,4,452.62372074852465,em,154.8720043830872
70,4,456.9876692405669,em,163.555203465271
70,5,488.0876753440825,em,163.555203465271
71,5,492.4975788122392,em,163.555203465271
72,5,496.8615273042815,em,163.555203465271
73,5,501.2714307724382,em,163.555203465271
74,5,505.6813123364118,em,163.555203465271
75,5,510.0912158045685,em,172.2815994171142
76,5,514.5011192727252,em,172.2815994171142
77,5,518.9110008366988,em,172.2815994171142
78,5,523.3209043048555,em,172.2815994171142
79,5,527.7767408449436,em,172.2815994171142
80,5,532.2325773850316,em,181.00800566864018
80,6,563.3325682297582,em,181.00800566864018
81,6,567.7424497937318,em,181.00800566864018
82,6,572.1982863338199,em,181.00800566864018
83,6,576.6541228739079,em,181.00800566864018
84,6,581.1558705817442,em,181.00800566864018
85,6,585.6117071218323,em,189.73441192016617
86,6,590.1134548296686,em,189.73441192016617
87,6,594.5692913697567,em,189.73441192016617
88,6,599.0710828859592,em,189.73441192016617
89,6,603.5728305937955,em,189.73441192016617
90,6,608.074622109998,em,198.46079757232656
