level,ascension,base_atk,substat,substat_value
1,0,41.067100524902344,er,0.1333329975605011
2,0,44.22926816610652,er,0.1333329975605011
3,0,47.3914358073107,er,0.1333329975605011
4,0,50.51253442892266,er,0.1333329975605011
5,0,53.63363305053463,er,0.15493293528161445
6,0,56.75473167214659,er,0.15493293528161445
7,0,59.83476616974622,er,0.15493293528161445
8,0,62.95586479135818,er,0.15493293528161445
9,0,65.9948302693656,er,0.15493293528161445
10,0,69.07486476696522,er,0.18173288037974444
11,0,72.15489436898497,er,0.18173288037974444
12,0,75.19385984699238,er,0.18173288037974444
13,0,78.2328253249998,er,0.18173288037974444
14,0,81.2717908030072,er,0.18173288037974444
15,0,84.26969215700228,er,0.20866614881155954
16,0,87.30865273942982,er,0.20866614881155954
17,0,90.30654919784502,er,0.20866614881155954
18,0,93.30445544741997,er,0.20866614881155954
19,0,96.30235190583517,er,0.20866614881155954
20,0,99.25918424023803,er,0.23559940134884272
20,1,125.1591838587683,er,0.23559940134884272
21,1,128.1570803171835,er,0.23559940134884272
22,1,131.11391265158636,er,0.23559940134884272
23,1,134.07074498598922,er,0.23559940134884272
24,1,137.06864144440442,er,0.23559940134884272
25,1,139.98440965479494,er,0.2625326697806578
26,1,142.94123219803805,er,0.2625326697806578
27,1,145.8980645324409,er,0.2625326697806578
28,1,148.81383274283144,er,0.2625326697806578
29,1,151.7706650772343,er,0.2625326697806578
30,1,154.68642349646507,er,0.2894659382124729
31,1,157.6021917068556,er,0.2894659382124729
32,1,160.51795991724612,er,0.2894659382124729
33,1,163.4337183364769,er,0.2894659382124729
34,1,166.3494865468674,er,0.2894659382124729
35,1,169.22418084208584,er,0.3163991907497561
36,1,172.13994905247637,er,0.3163991907497561
37,1,175.05570747170714,er,0.3163991907497561
38,1,177.93040176692557,er,0.3163991907497561
39,1,180.80510585330376,er,0.3163991907497561
40,1,183.6798001485222,er,0.3433324750761031
40,2,209.67980205587082,er,0.3433324750761031
41,2,212.59557026626135,er,0.3433324750761031
42,2,215.47026456147978,er,0.3433324750761031
43,2,218.3449588566982,er,0.3433324750761031
44,2,221.17859881906406,er,0.3433324750761031
45,2,224.05328332312274,er,0.3702657276133863
46,2,226.92798740950093,er,0.3702657276133863
47,2,229.8026719135596,er,0.3702657276133863
48,2,232.63631187592546,er,0.3702657276133863
49,2,235.51101596230365,er,0.3702657276133863
50,2,238.34463634235,er,0.3971990119397333
50,3,264.2446378682289,er,0.3971990119397333
51,3,267.07827783059474,er,0.3971990119397333
52,3,269.9529623346534,er,0.3971990119397333
53,3,272.7866022970193,er,0.3971990119397333
54,3,275.6202226770656,er,0.3971990119397333
55,3,278.45386263943146,er,0.42413226447701646
56,3,281.2874830194778,er,0.42413226447701646
57,3,284.12112298184365,er,0.42413226447701646
58,3,286.95474336189,er,0.42413226447701646
59,3,289.78838332425585,er,0.42413226447701646
60,3,292.6220037043022,er,0.45106551701429964
60,4,318.52199760078656,er,0.45106551701429964
61,4,321.3556375631524,er,0.45106551701429964
62,4,324.1481938191864,er,0.45106551701429964
63,4,326.98181419923276,er,0.45106551701429964
64,4,329.8154541615986,er,0.45106551701429964
65,4,332.6080104176326,er,0.47799880134064665
66,4,335.44165037999846,er,0.47799880134064665
67,4,338.23420663603247,er,0.47799880134064665
68,4,341.0678465983983,er,0.47799880134064665
69,4,343.8604028544323,er,0.47799880134064665
70,4,346.6529591104663,er,0.5047987305442447
70,5,372.6529591104663,er,0.5047987305442447
71,5,375.4865990728322,er,0.5047987305442447
72,5,378.2791553288662,er,0.5047987305442447
73,5,381.0717115849002,er,0.5047987305442447
74,5,383.8642874232537,er,0.5047987305442447
75,5,386.6568436792877,er,0.5317319830815279
76,5,389.49048364165355,er,0.5317319830815279
77,5,392.28303989768756,er,0.5317319830815279
78,5,395.07559615372156,er,0.5317319830815279
79,5,397.8681719920751,er,0.5317319830815279
80,5,400.6607282481091,er,0.5586652674078749
80,6,426.5607374033825,er,0.5586652674078749
81,6,429.3122295354042,er,0.5586652674078749
82,6,432.1047857914382,er,0.5586652674078749
83,6,434.8973616297917,er,0.5586652674078749
84,6,437.6899178858257,er,0.5586652674078749
85,6,440.4824741418597,er,0.5855985517342219
86,6,443.2750499802132,er,0.5855985517342219
87,6,446.0265421122349,er,0.5855985517342219
88,6,448.8190983682689,er,0.5855985517342219
89,6,451.6116742066224,er,0.5855985517342219
90,6,454.3631663386441,er,0.6125317724824413
