level,ascension,base_atk,substat,substat_value
1,0,39.875099182128906,def%,0.06373299658298492
2,0,43.10498103701775,def%,0.06373299658298492
3,0,46.334862891906596,def%,0.06373299658298492
4,0,49.60462170934261,def%,0.06373299658298492
5,0,52.8345083177137,def%,0.07405773826103612
6,0,56.10426238166747,def%,0.07405773826103612
7,0,59.37402119910348,def%,0.07405773826103612
8,0,62.60390780747457,def%,0.07405773826103612
9,0,65.87366187142834,def%,0.07405773826103612
10,0,69.14342068886435,def%,0.08686807659148776
11,0,72.41317950630037,def%,0.08686807659148776
12,0,75.68293832373638,def%,0.08686807659148776
13,0,78.99256935023732,def%,0.08686807659148776
14,0,82.26232816767333,def%,0.08686807659148776
15,0,85.53208698510934,def%,0.09974214329920272
16,0,88.80184580254536,def%,0.09974214329920272
17,0,92.1114768290463,def%,0.09974214329920272
18,0,95.38123564648231,def%,0.09974214329920272
19,0,98.65099446391832,def%,0.09974214329920272
20,0,101.96062549041926,def%,0.11261620240935244
20,1,121.46062549041926,def%,0.11261620240935244
21,1,124.73038430785527,def%,0.11261620240935244
22,1,128.0400153343562,def%,0.11261620240935244
23,1,131.30977415179223,def%,0.11261620240935244
24,1,134.61941468525765,def%,0.11261620240935244
25,1,137.88917350269367,def%,0.1254902691170674
26,1,141.1988045291946,def%,0.1254902691170674
27,1,144.46856334663062,def%,0.1254902691170674
28,1,147.77819437313156,def%,0.1254902691170674
29,1,151.04795319056757,def%,0.1254902691170674
30,1,154.3575842170685,def%,0.13836433582478236
31,1,157.62734303450452,def%,0.13836433582478236
32,1,160.93697406100546,def%,0.13836433582478236
33,1,164.20673287844147,def%,0.13836433582478236
34,1,167.5163639049424,def%,0.13836433582478236
35,1,170.78612272237842,def%,0.15123839493493207
36,1,174.09576325584385,def%,0.15123839493493207
37,1,177.36552207327986,def%,0.15123839493493207
38,1,180.6751435928163,def%,0.15123839493493207
39,1,183.9449119172168,def%,0.15123839493493207
40,1,187.21466122768834,def%,0.16411246924021228
40,2,206.61466275356725,def%,0.16411246924021228
41,2,209.92430328703267,def%,0.16411246924021228
42,2,213.1940525975042,def%,0.16411246924021228
43,2,216.50369313096962,def%,0.16411246924021228
44,2,219.77344244144115,def%,0.16411246924021228
45,2,223.04321076584165,def%,0.176986528350362
46,2,226.35285129930708,def%,0.176986528350362
47,2,229.6226006097786,def%,0.176986528350362
48,2,232.89234992025013,def%,0.176986528350362
49,2,236.20199045371555,def%,0.176986528350362
50,2,239.47175877811605,def%,0.1898606026556422
50,3,258.97175877811605,def%,0.1898606026556422
51,3,262.2415080885876,def%,0.1898606026556422
52,3,265.5112573990591,def%,0.1898606026556422
53,3,268.82089793252453,def%,0.1898606026556422
54,3,272.09066625692503,def%,0.1898606026556422
55,3,275.36041556739656,def%,0.2027346617657919
56,3,278.6301648778681,def%,0.2027346617657919
57,3,281.8999332022686,def%,0.2027346617657919
58,3,285.209573735734,def%,0.2027346617657919
59,3,288.47932304620554,def%,0.2027346617657919
60,3,291.74909137060604,def%,0.21560872087594163
60,4,311.14909289648494,def%,0.21560872087594163
61,4,314.41884220695647,def%,0.21560872087594163
62,4,317.688591517428,def%,0.21560872087594163
63,4,320.9583598418285,def%,0.21560872087594163
64,4,324.2281091523,def%,0.21560872087594163
65,4,327.4978774767005,def%,0.22848279518122183
66,4,330.76762678717205,def%,0.22848279518122183
67,4,334.0772673206375,def%,0.22848279518122183
68,4,337.347016631109,def%,0.22848279518122183
69,4,340.6167849555095,def%,0.22848279518122183
70,4,343.886534265981,def%,0.24129312591410823
70,5,363.386534265981,def%,0.24129312591410823
71,5,366.65630259038153,def%,0.24129312591410823
72,5,369.92605190085305,def%,0.24129312591410823
73,5,373.19582022525356,def%,0.24129312591410823
74,5,376.4655695357251,def%,0.24129312591410823
75,5,379.7353378601256,def%,0.25416718502425795
76,5,383.0050871705971,def%,0.25416718502425795
77,5,386.2748554949976,def%,0.25416718502425795
78,5,389.54460480546913,def%,0.25416718502425795
79,5,392.81435411594066,def%,0.25416718502425795
80,5,396.08412244034116,def%,0.26704125932953815
80,6,415.48411633682554,def%,0.26704125932953815
81,6,418.75386564729706,def%,0.26704125932953815
82,6,422.02363397169756,def%,0.26704125932953815
83,6,425.2933832821691,def%,0.26704125932953815
84,6,428.5631516065696,def%,0.26704125932953815
85,6,431.87277312610604,def%,0.27991533363481835
86,6,435.14254145050654,def%,0.27991533363481835
87,6,438.41229076097807,def%,0.27991533363481835
88,6,441.6820400714496,def%,0.27991533363481835
89,6,444.95182740977907,def%,0.27991533363481835
90,6,448.2215767202506,def%,0.2927893775498376
